candidate,office,district,party,county,precinct,total votes,votes
Greg C Wooldridge,Governor,,REP,Columbia,18 E Rainier,,4
Jonathan I Edwards III,Governor,,REP,Columbia,18 E Rainier,,0
David W Stauffer,Governor,,REP,Columbia,18 E Rainier,,0
Jeff Smith,Governor,,REP,Columbia,18 E Rainier,,0
Jack W Tacy ,Governor,,REP,Columbia,18 E Rainier,,0
Brett Hyland,Governor,,REP,Columbia,18 E Rainier,,0
Bruce Cuff,Governor,,REP,Columbia,18 E Rainier,,1
Sam Carpenter,Governor,,REP,Columbia,18 E Rainier,,6
Write In,Governor,,REP,Columbia,18 E Rainier,,0
Over votes,Governor,,REP,Columbia,18 E Rainier,,0
Under votes,Governor,,REP,Columbia,18 E Rainier,,0
Write In,State Senate,16,REP,Columbia,18 E Rainier,,2
Over votes,State Senate,16,REP,Columbia,18 E Rainier,,0
Under votes,State Senate,16,REP,Columbia,18 E Rainier,,16
Brian G Stout,State House,31,REP,Columbia,18 E Rainier,,6
Write In,State House,31,REP,Columbia,18 E Rainier,,0
Over votes,State House,31,REP,Columbia,18 E Rainier,,0
Under votes,State House,31,REP,Columbia,18 E Rainier,,12
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,18 E Rainier,,21
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,18 E Rainier,,22
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,18 E Rainier,,16
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,18 E Rainier,,0
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,18 E Rainier,,0
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,18 E Rainier,,11
,Registered Voters,,,Columbia,19 S Warren,,1078
,Registered Voters,,NonPartisan,Columbia,19 S Warren,,314
,Registered Voters,,DEM,Columbia,19 S Warren,,368
,Registered Voters,,IND,Columbia,19 S Warren,,45
,Registered Voters,,REP,Columbia,19 S Warren,,351
,Ballots Cast,,,Columbia,19 S Warren,,430
,Ballots Cast,,NonPartisan,Columbia,19 S Warren,,55
,Ballots Cast,,DEM,Columbia,19 S Warren,,184
,Ballots Cast,,IND,Columbia,19 S Warren,,10
,Ballots Cast,,REP,Columbia,19 S Warren,,181
,Ballots Cast,,Blank,Columbia,19 S Warren,,0
Ricky Barajas ,U.S. House,1,DEM,Columbia,19 S Warren,,12
Suzanne Bonamici,U.S. House,1,DEM,Columbia,19 S Warren,,137
Michael E Stansfield,U.S. House,1,DEM,Columbia,19 S Warren,,20
Write In,U.S. House,1,DEM,Columbia,19 S Warren,,1
Over votes,U.S. House,1,DEM,Columbia,19 S Warren,,0
Under votes,U.S. House,1,DEM,Columbia,19 S Warren,,14
Ed Jones,Governor,,DEM,Columbia,19 S Warren,,37
Kate Brown,Governor,,DEM,Columbia,19 S Warren,,113
Candace Neville,Governor,,DEM,Columbia,19 S Warren,,17
Write-Ins,Governor,,DEM,Columbia,19 S Warren,,6
Over votes,Governor,,DEM,Columbia,19 S Warren,,0
Under votes,Governor,,DEM,Columbia,19 S Warren,,11
Betsy Johnson,State Senate,16,DEM,Columbia,19 S Warren,,147
Write In,State Senate,16,DEM,Columbia,19 S Warren,,2
Over votes,State Senate,16,DEM,Columbia,19 S Warren,,0
Under votes,State Senate,16,DEM,Columbia,19 S Warren,,35
Brad Witt,State House,31,DEM,Columbia,19 S Warren,,139
Write In,State House,31,DEM,Columbia,19 S Warren,,6
Over votes,State House,31,DEM,Columbia,19 S Warren,,0
Under votes,State House,31,DEM,Columbia,19 S Warren,,39
Write In,U.S. House,1,IND,Columbia,19 S Warren,,4
Over votes,U.S. House,1,IND,Columbia,19 S Warren,,0
Under votes,U.S. House,1,IND,Columbia,19 S Warren,,6
Dan (Mr. P) Pistoresi ,Governor,,IND,Columbia,19 S Warren,,0
Skye J Allen,Governor,,IND,Columbia,19 S Warren,,2
Patrick Starnes,Governor,,IND,Columbia,19 S Warren,,1
Write In,Governor,,IND,Columbia,19 S Warren,,5
Over votes,Governor,,IND,Columbia,19 S Warren,,0
Under votes,Governor,,IND,Columbia,19 S Warren,,2
Write In,State Senate,16,IND,Columbia,19 S Warren,,4
Over votes,State Senate,16,IND,Columbia,19 S Warren,,0
Under votes,State Senate,16,IND,Columbia,19 S Warren,,6
Write In,State House,31,IND,Columbia,19 S Warren,,5
Over votes,State House,31,IND,Columbia,19 S Warren,,0
Under votes,State House,31,IND,Columbia,19 S Warren,,5
John Verbeek,U.S. House,1,REP,Columbia,19 S Warren,,60
George Griffith,U.S. House,1,REP,Columbia,19 S Warren,,49
Preston L Miller,U.S. House,1,REP,Columbia,19 S Warren,,18
Write In,U.S. House,1,REP,Columbia,19 S Warren,,1
Over votes,U.S. House,1,REP,Columbia,19 S Warren,,0
Under votes,U.S. House,1,REP,Columbia,19 S Warren,,53
Knute Buehler,Governor,,REP,Columbia,19 S Warren,,74
Keenen W Bohach,Governor,,REP,Columbia,19 S Warren,,0
Greg C Wooldridge,Governor,,REP,Columbia,19 S Warren,,26
Jonathan I Edwards III,Governor,,REP,Columbia,19 S Warren,,0
David W Stauffer,Governor,,REP,Columbia,19 S Warren,,1
Jeff Smith,Governor,,REP,Columbia,19 S Warren,,3
Jack W Tacy ,Governor,,REP,Columbia,19 S Warren,,0
Brett Hyland,Governor,,REP,Columbia,19 S Warren,,1
Bruce Cuff,Governor,,REP,Columbia,19 S Warren,,5
Sam Carpenter,Governor,,REP,Columbia,19 S Warren,,67
Write In,Governor,,REP,Columbia,19 S Warren,,0
Over votes,Governor,,REP,Columbia,19 S Warren,,0
Under votes,Governor,,REP,Columbia,19 S Warren,,4
Write In,State Senate,16,REP,Columbia,19 S Warren,,27
Over votes,State Senate,16,REP,Columbia,19 S Warren,,0
Under votes,State Senate,16,REP,Columbia,19 S Warren,,154
Brian G Stout,State House,31,REP,Columbia,19 S Warren,,87
Write In,State House,31,REP,Columbia,19 S Warren,,6
Over votes,State House,31,REP,Columbia,19 S Warren,,0
Under votes,State House,31,REP,Columbia,19 S Warren,,88
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,19 S Warren,,161
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,19 S Warren,,129
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,19 S Warren,,52
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,19 S Warren,,2
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,19 S Warren,,0
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,19 S Warren,,86
,Registered Voters,,,Columbia,20 N Warren,,782
,Registered Voters,,NonPartisan,Columbia,20 N Warren,,195
,Registered Voters,,DEM,Columbia,20 N Warren,,288
,Registered Voters,,IND,Columbia,20 N Warren,,31
,Registered Voters,,REP,Columbia,20 N Warren,,268
,Ballots Cast,,,Columbia,20 N Warren,,323
,Ballots Cast,,NonPartisan,Columbia,20 N Warren,,40
,Ballots Cast,,DEM,Columbia,20 N Warren,,141
,Ballots Cast,,IND,Columbia,20 N Warren,,11
,Ballots Cast,,REP,Columbia,20 N Warren,,131
,Ballots Cast,,Blank,Columbia,20 N Warren,,0
Ricky Barajas ,U.S. House,1,DEM,Columbia,20 N Warren,,8
Suzanne Bonamici,U.S. House,1,DEM,Columbia,20 N Warren,,110
Michael E Stansfield,U.S. House,1,DEM,Columbia,20 N Warren,,17
Write In,U.S. House,1,DEM,Columbia,20 N Warren,,2
Over votes,U.S. House,1,DEM,Columbia,20 N Warren,,0
Under votes,U.S. House,1,DEM,Columbia,20 N Warren,,4
Ed Jones,Governor,,DEM,Columbia,20 N Warren,,26
Kate Brown,Governor,,DEM,Columbia,20 N Warren,,85
Candace Neville,Governor,,DEM,Columbia,20 N Warren,,19
Write-Ins,Governor,,DEM,Columbia,20 N Warren,,6
Over votes,Governor,,DEM,Columbia,20 N Warren,,0
Under votes,Governor,,DEM,Columbia,20 N Warren,,5
Betsy Johnson,State Senate,16,DEM,Columbia,20 N Warren,,117
Write In,State Senate,16,DEM,Columbia,20 N Warren,,2
Over votes,State Senate,16,DEM,Columbia,20 N Warren,,0
Under votes,State Senate,16,DEM,Columbia,20 N Warren,,22
Brad Witt,State House,31,DEM,Columbia,20 N Warren,,120
Write In,State House,31,DEM,Columbia,20 N Warren,,3
Over votes,State House,31,DEM,Columbia,20 N Warren,,0
Under votes,State House,31,DEM,Columbia,20 N Warren,,18
Write In,U.S. House,1,IND,Columbia,20 N Warren,,1
Over votes,U.S. House,1,IND,Columbia,20 N Warren,,0
Under votes,U.S. House,1,IND,Columbia,20 N Warren,,10
Dan (Mr. P) Pistoresi ,Governor,,IND,Columbia,20 N Warren,,1
Skye J Allen,Governor,,IND,Columbia,20 N Warren,,1
Patrick Starnes,Governor,,IND,Columbia,20 N Warren,,2
Write In,Governor,,IND,Columbia,20 N Warren,,2
Over votes,Governor,,IND,Columbia,20 N Warren,,0
Under votes,Governor,,IND,Columbia,20 N Warren,,5
Write In,State Senate,16,IND,Columbia,20 N Warren,,2
Over votes,State Senate,16,IND,Columbia,20 N Warren,,0
Under votes,State Senate,16,IND,Columbia,20 N Warren,,9
Write In,State House,31,IND,Columbia,20 N Warren,,1
Over votes,State House,31,IND,Columbia,20 N Warren,,0
Under votes,State House,31,IND,Columbia,20 N Warren,,10
John Verbeek,U.S. House,1,REP,Columbia,20 N Warren,,47
George Griffith,U.S. House,1,REP,Columbia,20 N Warren,,35
Preston L Miller,U.S. House,1,REP,Columbia,20 N Warren,,9
Write In,U.S. House,1,REP,Columbia,20 N Warren,,1
Over votes,U.S. House,1,REP,Columbia,20 N Warren,,0
Under votes,U.S. House,1,REP,Columbia,20 N Warren,,39
Knute Buehler,Governor,,REP,Columbia,20 N Warren,,50
Keenen W Bohach,Governor,,REP,Columbia,20 N Warren,,0
Greg C Wooldridge,Governor,,REP,Columbia,20 N Warren,,17
Jonathan I Edwards III,Governor,,REP,Columbia,20 N Warren,,0
David W Stauffer,Governor,,REP,Columbia,20 N Warren,,1
Jeff Smith,Governor,,REP,Columbia,20 N Warren,,1
Jack W Tacy ,Governor,,REP,Columbia,20 N Warren,,0
Brett Hyland,Governor,,REP,Columbia,20 N Warren,,0
Bruce Cuff,Governor,,REP,Columbia,20 N Warren,,0
Sam Carpenter,Governor,,REP,Columbia,20 N Warren,,57
Write In,Governor,,REP,Columbia,20 N Warren,,0
Over votes,Governor,,REP,Columbia,20 N Warren,,0
Under votes,Governor,,REP,Columbia,20 N Warren,,5
Write In,State Senate,16,REP,Columbia,20 N Warren,,24
Over votes,State Senate,16,REP,Columbia,20 N Warren,,0
Under votes,State Senate,16,REP,Columbia,20 N Warren,,107
Brian G Stout,State House,31,REP,Columbia,20 N Warren,,75
Write In,State House,31,REP,Columbia,20 N Warren,,1
Over votes,State House,31,REP,Columbia,20 N Warren,,0
Under votes,State House,31,REP,Columbia,20 N Warren,,55
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,20 N Warren,,123
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,20 N Warren,,101
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,20 N Warren,,43
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,20 N Warren,,0
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,20 N Warren,,0
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,20 N Warren,,56
,Registered Voters,,,Columbia,21 City St Helens One,,3048
,Registered Voters,,NonPartisan,Columbia,21 City St Helens One,,1232
,Registered Voters,,DEM,Columbia,21 City St Helens One,,1052
,Registered Voters,,IND,Columbia,21 City St Helens One,,134
,Registered Voters,,REP,Columbia,21 City St Helens One,,630
,Ballots Cast,,,Columbia,21 City St Helens One,,995
,Ballots Cast,,NonPartisan,Columbia,21 City St Helens One,,183
,Ballots Cast,,DEM,Columbia,21 City St Helens One,,478
,Ballots Cast,,IND,Columbia,21 City St Helens One,,38
,Ballots Cast,,REP,Columbia,21 City St Helens One,,296
,Ballots Cast,,Blank,Columbia,21 City St Helens One,,1
Ricky Barajas ,U.S. House,1,DEM,Columbia,21 City St Helens One,,21
Suzanne Bonamici,U.S. House,1,DEM,Columbia,21 City St Helens One,,386
Michael E Stansfield,U.S. House,1,DEM,Columbia,21 City St Helens One,,31
Write In,U.S. House,1,DEM,Columbia,21 City St Helens One,,7
Over votes,U.S. House,1,DEM,Columbia,21 City St Helens One,,0
Under votes,U.S. House,1,DEM,Columbia,21 City St Helens One,,33
Ed Jones,Governor,,DEM,Columbia,21 City St Helens One,,86
Kate Brown,Governor,,DEM,Columbia,21 City St Helens One,,315
Candace Neville,Governor,,DEM,Columbia,21 City St Helens One,,35
Write-Ins,Governor,,DEM,Columbia,21 City St Helens One,,14
Over votes,Governor,,DEM,Columbia,21 City St Helens One,,0
Under votes,Governor,,DEM,Columbia,21 City St Helens One,,28
Betsy Johnson,State Senate,16,DEM,Columbia,21 City St Helens One,,395
Write In,State Senate,16,DEM,Columbia,21 City St Helens One,,8
Over votes,State Senate,16,DEM,Columbia,21 City St Helens One,,0
Under votes,State Senate,16,DEM,Columbia,21 City St Helens One,,75
Brad Witt,State House,31,DEM,Columbia,21 City St Helens One,,397
Write In,State House,31,DEM,Columbia,21 City St Helens One,,14
Over votes,State House,31,DEM,Columbia,21 City St Helens One,,0
Under votes,State House,31,DEM,Columbia,21 City St Helens One,,67
Write In,U.S. House,1,IND,Columbia,21 City St Helens One,,8
Over votes,U.S. House,1,IND,Columbia,21 City St Helens One,,0
Under votes,U.S. House,1,IND,Columbia,21 City St Helens One,,30
Dan (Mr. P) Pistoresi ,Governor,,IND,Columbia,21 City St Helens One,,5
Skye J Allen,Governor,,IND,Columbia,21 City St Helens One,,7
Patrick Starnes,Governor,,IND,Columbia,21 City St Helens One,,6
Write In,Governor,,IND,Columbia,21 City St Helens One,,9
Over votes,Governor,,IND,Columbia,21 City St Helens One,,0
Under votes,Governor,,IND,Columbia,21 City St Helens One,,11
Write In,State Senate,16,IND,Columbia,21 City St Helens One,,8
Over votes,State Senate,16,IND,Columbia,21 City St Helens One,,0
Under votes,State Senate,16,IND,Columbia,21 City St Helens One,,30
Write In,State House,31,IND,Columbia,21 City St Helens One,,8
Over votes,State House,31,IND,Columbia,21 City St Helens One,,0
Under votes,State House,31,IND,Columbia,21 City St Helens One,,30
John Verbeek,U.S. House,1,REP,Columbia,21 City St Helens One,,86
George Griffith,U.S. House,1,REP,Columbia,21 City St Helens One,,108
Preston L Miller,U.S. House,1,REP,Columbia,21 City St Helens One,,30
Write In,U.S. House,1,REP,Columbia,21 City St Helens One,,3
Over votes,U.S. House,1,REP,Columbia,21 City St Helens One,,0
Under votes,U.S. House,1,REP,Columbia,21 City St Helens One,,69
Knute Buehler,Governor,,REP,Columbia,21 City St Helens One,,108
Keenen W Bohach,Governor,,REP,Columbia,21 City St Helens One,,1
Greg C Wooldridge,Governor,,REP,Columbia,21 City St Helens One,,46
Jonathan I Edwards III,Governor,,REP,Columbia,21 City St Helens One,,1
David W Stauffer,Governor,,REP,Columbia,21 City St Helens One,,4
Jeff Smith,Governor,,REP,Columbia,21 City St Helens One,,8
Jack W Tacy ,Governor,,REP,Columbia,21 City St Helens One,,0
Brett Hyland,Governor,,REP,Columbia,21 City St Helens One,,0
Bruce Cuff,Governor,,REP,Columbia,21 City St Helens One,,11
Sam Carpenter,Governor,,REP,Columbia,21 City St Helens One,,95
Write In,Governor,,REP,Columbia,21 City St Helens One,,2
Over votes,Governor,,REP,Columbia,21 City St Helens One,,0
Under votes,Governor,,REP,Columbia,21 City St Helens One,,20
Write In,State Senate,16,REP,Columbia,21 City St Helens One,,56
Over votes,State Senate,16,REP,Columbia,21 City St Helens One,,0
Under votes,State Senate,16,REP,Columbia,21 City St Helens One,,240
Brian G Stout,State House,31,REP,Columbia,21 City St Helens One,,171
Write In,State House,31,REP,Columbia,21 City St Helens One,,7
Over votes,State House,31,REP,Columbia,21 City St Helens One,,0
Under votes,State House,31,REP,Columbia,21 City St Helens One,,118
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,21 City St Helens One,,302
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,21 City St Helens One,,325
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,21 City St Helens One,,158
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,21 City St Helens One,,3
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,21 City St Helens One,,0
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,21 City St Helens One,,207
,Registered Voters,,,Columbia,24 City St Helens Four,,2888
,Registered Voters,,NonPartisan,Columbia,24 City St Helens Four,,1129
,Registered Voters,,DEM,Columbia,24 City St Helens Four,,941
,Registered Voters,,IND,Columbia,24 City St Helens Four,,144
,Registered Voters,,REP,Columbia,24 City St Helens Four,,674
,Ballots Cast,,,Columbia,24 City St Helens Four,,915
,Ballots Cast,,NonPartisan,Columbia,24 City St Helens Four,,173
,Ballots Cast,,DEM,Columbia,24 City St Helens Four,,410
,Ballots Cast,,IND,Columbia,24 City St Helens Four,,36
,Ballots Cast,,REP,Columbia,24 City St Helens Four,,296
,Ballots Cast,,Blank,Columbia,24 City St Helens Four,,0
Ricky Barajas ,U.S. House,1,DEM,Columbia,24 City St Helens Four,,16
Suzanne Bonamici,U.S. House,1,DEM,Columbia,24 City St Helens Four,,314
Michael E Stansfield,U.S. House,1,DEM,Columbia,24 City St Helens Four,,36
Write In,U.S. House,1,DEM,Columbia,24 City St Helens Four,,7
Over votes,U.S. House,1,DEM,Columbia,24 City St Helens Four,,0
Under votes,U.S. House,1,DEM,Columbia,24 City St Helens Four,,37
Ed Jones,Governor,,DEM,Columbia,24 City St Helens Four,,77
Kate Brown,Governor,,DEM,Columbia,24 City St Helens Four,,227
Candace Neville,Governor,,DEM,Columbia,24 City St Helens Four,,53
Write-Ins,Governor,,DEM,Columbia,24 City St Helens Four,,23
Over votes,Governor,,DEM,Columbia,24 City St Helens Four,,0
Under votes,Governor,,DEM,Columbia,24 City St Helens Four,,30
Betsy Johnson,State Senate,16,DEM,Columbia,24 City St Helens Four,,333
Write In,State Senate,16,DEM,Columbia,24 City St Helens Four,,10
Over votes,State Senate,16,DEM,Columbia,24 City St Helens Four,,0
Under votes,State Senate,16,DEM,Columbia,24 City St Helens Four,,67
Brad Witt,State House,31,DEM,Columbia,24 City St Helens Four,,326
Write In,State House,31,DEM,Columbia,24 City St Helens Four,,10
Over votes,State House,31,DEM,Columbia,24 City St Helens Four,,0
Under votes,State House,31,DEM,Columbia,24 City St Helens Four,,74
Write In,U.S. House,1,IND,Columbia,24 City St Helens Four,,8
Over votes,U.S. House,1,IND,Columbia,24 City St Helens Four,,0
Under votes,U.S. House,1,IND,Columbia,24 City St Helens Four,,28
Dan (Mr. P) Pistoresi ,Governor,,IND,Columbia,24 City St Helens Four,,4
Skye J Allen,Governor,,IND,Columbia,24 City St Helens Four,,6
Patrick Starnes,Governor,,IND,Columbia,24 City St Helens Four,,7
Write In,Governor,,IND,Columbia,24 City St Helens Four,,9
Over votes,Governor,,IND,Columbia,24 City St Helens Four,,0
Under votes,Governor,,IND,Columbia,24 City St Helens Four,,10
Write In,State Senate,16,IND,Columbia,24 City St Helens Four,,11
Over votes,State Senate,16,IND,Columbia,24 City St Helens Four,,0
Under votes,State Senate,16,IND,Columbia,24 City St Helens Four,,25
Write In,State House,31,IND,Columbia,24 City St Helens Four,,7
Over votes,State House,31,IND,Columbia,24 City St Helens Four,,0
Under votes,State House,31,IND,Columbia,24 City St Helens Four,,29
John Verbeek,U.S. House,1,REP,Columbia,24 City St Helens Four,,77
George Griffith,U.S. House,1,REP,Columbia,24 City St Helens Four,,107
Preston L Miller,U.S. House,1,REP,Columbia,24 City St Helens Four,,31
Write In,U.S. House,1,REP,Columbia,24 City St Helens Four,,6
Over votes,U.S. House,1,REP,Columbia,24 City St Helens Four,,0
Under votes,U.S. House,1,REP,Columbia,24 City St Helens Four,,75
Knute Buehler,Governor,,REP,Columbia,24 City St Helens Four,,98
Keenen W Bohach,Governor,,REP,Columbia,24 City St Helens Four,,1
Greg C Wooldridge,Governor,,REP,Columbia,24 City St Helens Four,,52
Jonathan I Edwards III,Governor,,REP,Columbia,24 City St Helens Four,,3
David W Stauffer,Governor,,REP,Columbia,24 City St Helens Four,,6
Jeff Smith,Governor,,REP,Columbia,24 City St Helens Four,,1
Jack W Tacy ,Governor,,REP,Columbia,24 City St Helens Four,,1
Brett Hyland,Governor,,REP,Columbia,24 City St Helens Four,,1
Bruce Cuff,Governor,,REP,Columbia,24 City St Helens Four,,4
Sam Carpenter,Governor,,REP,Columbia,24 City St Helens Four,,102
Write In,Governor,,REP,Columbia,24 City St Helens Four,,5
Over votes,Governor,,REP,Columbia,24 City St Helens Four,,1
Under votes,Governor,,REP,Columbia,24 City St Helens Four,,21
Write In,State Senate,16,REP,Columbia,24 City St Helens Four,,48
Over votes,State Senate,16,REP,Columbia,24 City St Helens Four,,0
Under votes,State Senate,16,REP,Columbia,24 City St Helens Four,,248
Brian G Stout,State House,31,REP,Columbia,24 City St Helens Four,,178
Write In,State House,31,REP,Columbia,24 City St Helens Four,,13
Over votes,State House,31,REP,Columbia,24 City St Helens Four,,0
Under votes,State House,31,REP,Columbia,24 City St Helens Four,,105
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,24 City St Helens Four,,269
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,24 City St Helens Four,,327
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,24 City St Helens Four,,138
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,24 City St Helens Four,,5
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,24 City St Helens Four,,0
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,24 City St Helens Four,,176
,Registered Voters,,,Columbia,26 City St Helens Six,,3000
,Registered Voters,,NonPartisan,Columbia,26 City St Helens Six,,1026
,Registered Voters,,DEM,Columbia,26 City St Helens Six,,995
,Registered Voters,,IND,Columbia,26 City St Helens Six,,130
,Registered Voters,,REP,Columbia,26 City St Helens Six,,849
,Ballots Cast,,,Columbia,26 City St Helens Six,,995
,Ballots Cast,,NonPartisan,Columbia,26 City St Helens Six,,167
,Ballots Cast,,DEM,Columbia,26 City St Helens Six,,413
,Ballots Cast,,IND,Columbia,26 City St Helens Six,,29
,Ballots Cast,,REP,Columbia,26 City St Helens Six,,386
,Ballots Cast,,Blank,Columbia,26 City St Helens Six,,0
Ricky Barajas ,U.S. House,1,DEM,Columbia,26 City St Helens Six,,26
Suzanne Bonamici,U.S. House,1,DEM,Columbia,26 City St Helens Six,,308
Michael E Stansfield,U.S. House,1,DEM,Columbia,26 City St Helens Six,,31
Write In,U.S. House,1,DEM,Columbia,26 City St Helens Six,,9
Over votes,U.S. House,1,DEM,Columbia,26 City St Helens Six,,0
Under votes,U.S. House,1,DEM,Columbia,26 City St Helens Six,,39
Ed Jones,Governor,,DEM,Columbia,26 City St Helens Six,,79
Kate Brown,Governor,,DEM,Columbia,26 City St Helens Six,,246
Candace Neville,Governor,,DEM,Columbia,26 City St Helens Six,,45
Write-Ins,Governor,,DEM,Columbia,26 City St Helens Six,,19
Over votes,Governor,,DEM,Columbia,26 City St Helens Six,,0
Under votes,Governor,,DEM,Columbia,26 City St Helens Six,,24
Betsy Johnson,State Senate,16,DEM,Columbia,26 City St Helens Six,,333
Write In,State Senate,16,DEM,Columbia,26 City St Helens Six,,11
Over votes,State Senate,16,DEM,Columbia,26 City St Helens Six,,0
Under votes,State Senate,16,DEM,Columbia,26 City St Helens Six,,69
Brad Witt,State House,31,DEM,Columbia,26 City St Helens Six,,327
Write In,State House,31,DEM,Columbia,26 City St Helens Six,,10
Over votes,State House,31,DEM,Columbia,26 City St Helens Six,,0
Under votes,State House,31,DEM,Columbia,26 City St Helens Six,,76
Write In,U.S. House,1,IND,Columbia,26 City St Helens Six,,7
Over votes,U.S. House,1,IND,Columbia,26 City St Helens Six,,0
Under votes,U.S. House,1,IND,Columbia,26 City St Helens Six,,22
Dan (Mr. P) Pistoresi ,Governor,,IND,Columbia,26 City St Helens Six,,0
Skye J Allen,Governor,,IND,Columbia,26 City St Helens Six,,3
Patrick Starnes,Governor,,IND,Columbia,26 City St Helens Six,,6
Write In,Governor,,IND,Columbia,26 City St Helens Six,,7
Over votes,Governor,,IND,Columbia,26 City St Helens Six,,0
Under votes,Governor,,IND,Columbia,26 City St Helens Six,,13
Write In,State Senate,16,IND,Columbia,26 City St Helens Six,,4
Over votes,State Senate,16,IND,Columbia,26 City St Helens Six,,0
Under votes,State Senate,16,IND,Columbia,26 City St Helens Six,,25
Write In,State House,31,IND,Columbia,26 City St Helens Six,,6
Over votes,State House,31,IND,Columbia,26 City St Helens Six,,0
Under votes,State House,31,IND,Columbia,26 City St Helens Six,,23
John Verbeek,U.S. House,1,REP,Columbia,26 City St Helens Six,,129
George Griffith,U.S. House,1,REP,Columbia,26 City St Helens Six,,114
Preston L Miller,U.S. House,1,REP,Columbia,26 City St Helens Six,,32
Write In,U.S. House,1,REP,Columbia,26 City St Helens Six,,1
Over votes,U.S. House,1,REP,Columbia,26 City St Helens Six,,0
Under votes,U.S. House,1,REP,Columbia,26 City St Helens Six,,110
Knute Buehler,Governor,,REP,Columbia,26 City St Helens Six,,148
Keenen W Bohach,Governor,,REP,Columbia,26 City St Helens Six,,1
Greg C Wooldridge,Governor,,REP,Columbia,26 City St Helens Six,,91
Jonathan I Edwards III,Governor,,REP,Columbia,26 City St Helens Six,,1
David W Stauffer,Governor,,REP,Columbia,26 City St Helens Six,,3
Jeff Smith,Governor,,REP,Columbia,26 City St Helens Six,,7
Jack W Tacy ,Governor,,REP,Columbia,26 City St Helens Six,,0
Brett Hyland,Governor,,REP,Columbia,26 City St Helens Six,,0
Bruce Cuff,Governor,,REP,Columbia,26 City St Helens Six,,4
Sam Carpenter,Governor,,REP,Columbia,26 City St Helens Six,,115
Write In,Governor,,REP,Columbia,26 City St Helens Six,,0
Over votes,Governor,,REP,Columbia,26 City St Helens Six,,2
Under votes,Governor,,REP,Columbia,26 City St Helens Six,,14
Write In,State Senate,16,REP,Columbia,26 City St Helens Six,,54
Over votes,State Senate,16,REP,Columbia,26 City St Helens Six,,0
Under votes,State Senate,16,REP,Columbia,26 City St Helens Six,,332
Brian G Stout,State House,31,REP,Columbia,26 City St Helens Six,,216
Write In,State House,31,REP,Columbia,26 City St Helens Six,,6
Over votes,State House,31,REP,Columbia,26 City St Helens Six,,0
Under votes,State House,31,REP,Columbia,26 City St Helens Six,,164
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,26 City St Helens Six,,321
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,26 City St Helens Six,,306
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,26 City St Helens Six,,130
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,26 City St Helens Six,,6
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,26 City St Helens Six,,0
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,26 City St Helens Six,,232
,Registered Voters,,,Columbia,31 City of Scappoose One,,870
