candidate,votes,pct,office,precinct,district,party
Chris Henry,2,0.53%,Governor,283,,
Aaron Auer,0,0.00%,Governor,283,,
John  Kitzhaber,187,50.00%,Governor,283,,
Paul Grad,3,0.80%,Governor,283,,
Jason  Levin,5,1.34%,Governor,283,,
Write-in,1,0.27%,Governor,283,,
Cast Votes: ,374,94.92%,Governor,283,,
Over Votes: ,0,0.00%,Governor,283,,
Under Votes: ,20,5.08%,Governor,283,,
Richard  Devlin ,249,93.26%,State Senate,283,19,
Write-in ,18,6.74%,State Senate,283,19,
Cast Votes: ,267,67.77%,State Senate,283,19,
Over Votes: ,0,0.00%,State Senate,283,19,
Under Votes: ,127,32.23%,State Senate,283,19,
Ann Lininger ,223,93.70%,State House,283,38,
Write-in ,15,6.30%,State House,283,38,
Cast Votes: ,238,60.41%,State House,283,38,
Over Votes: ,0,0.00%,State House,283,38,
Under Votes: ,156,39.59%,State House,283,38,
Mike Montchalin,14,1.49%,U.S. Senate,320,,
Jeff Merkley,457,48.57%,U.S. Senate,320,,
Christina Jean Lugo,11,1.17%,U.S. Senate,320,,
James E Leuenberger,3,0.32%,U.S. Senate,320,,
Monica Wehby,450,47.82%,U.S. Senate,320,,
Write-in,6,0.64%,U.S. Senate,320,,
Cast Votes: ,941,95.63%,U.S. Senate,320,,
Over Votes: ,0,0.00%,U.S. Senate,320,,
Under Votes: ,43,4.37%,U.S. Senate,320,,
Raymond Baldwin,7,0.75%,U.S. House,320,5,
Daniel K Souza,14,1.49%,U.S. House,320,5,
Kurt Schrader,500,53.25%,U.S. House,320,5,
Tootie Smith,403,42.92%,U.S. House,320,5,
Marvin Sannes,9,0.96%,U.S. House,320,5,
Write-in,6,0.64%,U.S. House,320,5,
Cast Votes: ,939,95.43%,U.S. House,320,5,
Over Votes: ,0,0.00%,U.S. House,320,5,
Under Votes: ,45,4.57%,U.S. House,320,5,
Dennis Richardson,489,52.02%,Governor,320,,
Chris Henry,5,0.53%,Governor,320,,
Aaron Auer,3,0.32%,Governor,320,,
John  Kitzhaber,413,43.94%,Governor,320,,
Paul Grad,10,1.06%,Governor,320,,
Jason  Levin,11,1.17%,Governor,320,,
Write-in,9,0.96%,Governor,320,,
Cast Votes: ,940,95.53%,Governor,320,,
Over Votes: ,0,0.00%,Governor,320,,
Under Votes: ,44,4.47%,Governor,320,,
Richard  Devlin ,587,94.52%,State Senate,320,19,
Write-in ,34,5.48%,State Senate,320,19,
Cast Votes: ,621,63.11%,State Senate,320,19,
Over Votes: ,0,0.00%,State Senate,320,19,
Under Votes: ,363,36.89%,State Senate,320,19,
Gerritt Rosenthal,356,39.64%,State House,320,37,
Julie Parrish,540,60.13%,State House,320,37,
Write-in,2,0.22%,State House,320,37,
Cast Votes: ,898,91.26%,State House,320,37,
Over Votes: ,0,0.00%,State House,320,37,
Under Votes: ,86,8.74%,State House,320,37,
Mike Montchalin,20,1.64%,U.S. Senate,321,,
Jeff Merkley,471,38.57%,U.S. Senate,321,,
Christina Jean Lugo,11,0.90%,U.S. Senate,321,,
James E Leuenberger,9,0.74%,U.S. Senate,321,,
Monica Wehby,703,57.58%,U.S. Senate,321,,
Write-in,7,0.57%,U.S. Senate,321,,
Cast Votes: ,1221,95.54%,U.S. Senate,321,,
Over Votes: ,0,0.00%,U.S. Senate,321,,
Under Votes: ,57,4.46%,U.S. Senate,321,,
Raymond Baldwin,7,0.58%,U.S. House,321,5,
Daniel K Souza,16,1.32%,U.S. House,321,5,
Kurt Schrader,514,42.48%,U.S. House,321,5,
Tootie Smith,658,54.38%,U.S. House,321,5,
Marvin Sannes,14,1.16%,U.S. House,321,5,
Write-in,1,0.08%,U.S. House,321,5,
Cast Votes: ,1210,94.68%,U.S. House,321,5,
Over Votes: ,0,0.00%,U.S. House,321,5,
Under Votes: ,68,5.32%,U.S. House,321,5,
Dennis Richardson,749,61.04%,Governor,321,,
Chris Henry,5,0.41%,Governor,321,,
Aaron Auer,2,0.16%,Governor,321,,
John  Kitzhaber,449,36.59%,Governor,321,,
Paul Grad,11,0.90%,Governor,321,,
Jason  Levin,8,0.65%,Governor,321,,
Write-in,3,0.24%,Governor,321,,
Cast Votes: ,1227,96.01%,Governor,321,,
Over Votes: ,1,0.08%,Governor,321,,
Under Votes: ,50,3.91%,Governor,321,,
Richard  Devlin ,713,92.60%,State Senate,321,19,
Write-in ,57,7.40%,State Senate,321,19,
Cast Votes: ,770,60.25%,State Senate,321,19,
Over Votes: ,0,0.00%,State Senate,321,19,
Under Votes: ,508,39.75%,State Senate,321,19,
Gerritt Rosenthal,374,31.61%,State House,321,37,
Julie Parrish,803,67.88%,State House,321,37,
Write-in,6,0.51%,State House,321,37,
Cast Votes: ,1183,92.57%,State House,321,37,
Over Votes:,0,0.00%,State House,321,37,
Under Votes:,95,7.43%,State House,321,37,
Mike Montchalin,12,1.32%,U.S. Senate,322,,
Jeff Merkley,378,41.54%,U.S. Senate,322,,
Christina Jean Lugo,3,0.33%,U.S. Senate,322,,
James E Leuenberger,5,0.55%,U.S. Senate,322,,
Monica Wehby,508,55.82%,U.S. Senate,322,,
Write-in,4,0.44%,U.S. Senate,322,,
Cast Votes: ,910,97.53%,U.S. Senate,322,,
Over Votes: ,0,0.00%,U.S. Senate,322,,
Under Votes: ,23,2.47%,U.S. Senate,322,,
Raymond Baldwin,7,0.78%,U.S. House,322,5,
Daniel K Souza,10,1.12%,U.S. House,322,5,
Kurt Schrader,387,43.39%,U.S. House,322,5,
Tootie Smith,474,53.14%,U.S. House,322,5,
Marvin Sannes,13,1.46%,U.S. House,322,5,
Write-in,1,0.11%,U.S. House,322,5,
Cast Votes: ,892,95.61%,U.S. House,322,5,
Over Votes: ,1,0.11%,U.S. House,322,5,
Under Votes: ,40,4.29%,U.S. House,322,5,
Dennis Richardson,546,60.60%,Governor,322,,
Chris Henry,4,0.44%,Governor,322,,
Aaron Auer,3,0.33%,Governor,322,,
John  Kitzhaber,332,36.85%,Governor,322,,
Paul Grad,4,0.44%,Governor,322,,
Jason  Levin,7,0.78%,Governor,322,,
Write-in,5,0.55%,Governor,322,,
Cast Votes: ,901,96.57%,Governor,322,,
Over Votes: ,0,0.00%,Governor,322,,
Under Votes: ,32,3.43%,Governor,322,,
Richard  Devlin ,495,92.70%,State Senate,322,19,
Write-in ,39,7.30%,State Senate,322,19,
Cast Votes: ,534,57.23%,State Senate,322,19,
Over Votes: ,0,0.00%,State Senate,322,19,
Under Votes: ,399,42.77%,State Senate,322,19,
Gerritt Rosenthal,284,33.18%,State House,322,37,
Julie Parrish,571,66.71%,State House,322,37,
Write-in,1,0.12%,State House,322,37,
Cast Votes: ,856,91.75%,State House,322,37,
Over Votes: ,0,0.00%,State House,322,37,
Under Votes: ,77,8.25%,State House,322,37,
Mike Montchalin,31,2.77%,U.S. Senate,323,,
Jeff Merkley,497,44.45%,U.S. Senate,323,,
Christina Jean Lugo,10,0.89%,U.S. Senate,323,,
James E Leuenberger,12,1.07%,U.S. Senate,323,,
Monica Wehby,561,50.18%,U.S. Senate,323,,
Write-in,7,0.63%,U.S. Senate,323,,
Cast Votes: ,1118,95.72%,U.S. Senate,323,,
Over Votes: ,0,0.00%,U.S. Senate,323,,
Under Votes: ,50,4.28%,U.S. Senate,323,,
Raymond Baldwin,19,1.71%,U.S. House,323,5,
Daniel K Souza,27,2.43%,U.S. House,323,5,
Kurt Schrader,568,51.13%,U.S. House,323,5,
Tootie Smith,476,42.84%,U.S. House,323,5,
Marvin Sannes,20,1.80%,U.S. House,323,5,
Write-in,1,0.09%,U.S. House,323,5,
Cast Votes: ,1111,95.12%,U.S. House,323,5,
Over Votes: ,0,0.00%,U.S. House,323,5,
Under Votes: ,57,4.88%,U.S. House,323,5,
Dennis Richardson,632,56.28%,Governor,323,,
Chris Henry,3,0.27%,Governor,323,,
Aaron Auer,4,0.36%,Governor,323,,
John  Kitzhaber,453,40.34%,Governor,323,,
Paul Grad,14,1.25%,Governor,323,,
Jason  Levin,12,1.07%,Governor,323,,
Write-in,5,0.45%,Governor,323,,
Cast Votes: ,1123,96.15%,Governor,323,,
Over Votes: ,0,0.00%,Governor,323,,
Under Votes: ,45,3.85%,Governor,323,,
Kim Thatcher,629,59.40%,State Senate,323,13,
Ryan Howard,429,40.51%,State Senate,323,13,
Write-in,1,0.09%,State Senate,323,13,
Cast Votes: ,1059,90.67%,State Senate,323,13,
Over Votes: ,0,0.00%,State Senate,323,13,
Under Votes: ,109,9.33%,State Senate,323,13,
John Davis,633,64.92%,State House,323,26,
Chuck  Huntting,31,3.18%,State House,323,26,
Eric D Squires,307,31.49%,State House,323,26,
Write-in,4,0.41%,State House,323,26,
Cast Votes: ,975,83.48%,State House,323,26,
Over Votes:,0,0.00%,State House,323,26,
Under Votes:,193,16.52%,State House,323,26,
Mike Montchalin,61,2.96%,U.S. Senate,330,,
Jeff Merkley,799,38.77%,U.S. Senate,330,,
Christina Jean Lugo,27,1.31%,U.S. Senate,330,,
James E Leuenberger,50,2.43%,U.S. Senate,330,,
Monica Wehby,1100,53.37%,U.S. Senate,330,,
Write-in,24,1.16%,U.S. Senate,330,,
Cast Votes: ,2061,95.68%,U.S. Senate,330,,
Over Votes: ,1,0.05%,U.S. Senate,330,,
Under Votes: ,92,4.27%,U.S. Senate,330,,
Raymond Baldwin,55,2.67%,U.S. House,330,5,
Daniel K Souza,32,1.55%,U.S. House,330,5,
Kurt Schrader,854,41.46%,U.S. House,330,5,
Tootie Smith,1077,52.28%,U.S. House,330,5,
Marvin Sannes,32,1.55%,U.S. House,330,5,
Write-in,10,0.49%,U.S. House,330,5,
Cast Votes: ,2060,95.64%,U.S. House,330,5,
Over Votes: ,1,0.05%,U.S. House,330,5,
Under Votes: ,93,4.32%,U.S. House,330,5,
Dennis Richardson,1358,64.67%,Governor,330,,
Chris Henry,5,0.24%,Governor,330,,
Aaron Auer,29,1.38%,Governor,330,,
John  Kitzhaber,650,30.95%,Governor,330,,
Paul Grad,20,0.95%,Governor,330,,
Jason  Levin,25,1.19%,Governor,330,,
Write-in,13,0.62%,Governor,330,,
Cast Votes: ,2100,97.49%,Governor,330,,
Over Votes: ,0,0.00%,Governor,330,,
Under Votes: ,54,2.51%,Governor,330,,
Scott A Mills,640,31.98%,State Senate,330,18,
Vic Gilliam,1345,67.22%,State Senate,330,18,
Write-in,16,0.80%,State Senate,330,18,
Cast Votes: ,2001,92.90%,State Senate,330,18,
Over Votes: ,0,0.00%,State Senate,330,18,
Under Votes: ,153,7.10%,State Senate,330,18,
Mike Montchalin,19,4.01%,U.S. Senate,331,,
Jeff Merkley,186,39.24%,U.S. Senate,331,,
Christina Jean Lugo,10,2.11%,U.S. Senate,331,,
James E Leuenberger,2,0.42%,U.S. Senate,331,,
Monica Wehby,253,53.38%,U.S. Senate,331,,
Write-in,4,0.84%,U.S. Senate,331,,
Cast Votes: ,474,95.95%,U.S. Senate,331,,
Over Votes: ,0,0.00%,U.S. Senate,331,,
Under Votes: ,20,4.05%,U.S. Senate,331,,
Raymond Baldwin,5,1.05%,U.S. House,331,5,
Daniel K Souza,9,1.89%,U.S. House,331,5,
Kurt Schrader,198,41.51%,U.S. House,331,5,
Tootie Smith,258,54.09%,U.S. House,331,5,
Marvin Sannes,5,1.05%,U.S. House,331,5,
Write-in,2,0.42%,U.S. House,331,5,
Cast Votes: ,477,96.56%,U.S. House,331,5,
Over Votes: ,0,0.00%,U.S. House,331,5,
Under Votes: ,17,3.44%,U.S. House,331,5,
Dennis Richardson,294,61.00%,Governor,331,,
Chris Henry,1,0.21%,Governor,331,,
Aaron Auer,3,0.62%,Governor,331,,
John  Kitzhaber,168,34.85%,Governor,331,,
Paul Grad,9,1.87%,Governor,331,,
Jason  Levin,5,1.04%,Governor,331,,
Write-in,2,0.41%,Governor,331,,
Cast Votes: ,482,97.57%,Governor,331,,
Over Votes: ,0,0.00%,Governor,331,,
Under Votes: ,12,2.43%,Governor,331,,
Alan R Olsen,302,65.51%,State Senate,331,20,
Jamie Damon,159,34.49%,State Senate,331,20,
Write-in,0,0.00%,State Senate,331,20,
Cast Votes: ,461,93.32%,State Senate,331,20,
Over Votes: ,0,0.00%,State Senate,331,20,
Under Votes: ,33,6.68%,State Senate,331,20,
Bill Kennemer ,351,98.60%,State House,331,39,
Write-in ,5,1.40%,State House,331,39,
Cast Votes: ,356,72.06%,State House,331,39,
Over Votes: ,0,0.00%,State House,331,39,
Under Votes: ,138,27.94%,State House,331,39,
Mike Montchalin,3,1.50%,U.S. Senate,332,,
Jeff Merkley,80,40.00%,U.S. Senate,332,,
Christina Jean Lugo,3,1.50%,U.S. Senate,332,,
James E Leuenberger,2,1.00%,U.S. Senate,332,,
Monica Wehby,111,55.50%,U.S. Senate,332,,
Write-in,1,0.50%,U.S. Senate,332,,
Cast Votes: ,200,96.15%,U.S. Senate,332,,
Over Votes: ,0,0.00%,U.S. Senate,332,,
Under Votes: ,8,3.85%,U.S. Senate,332,,
Raymond Baldwin,5,2.51%,U.S. House,332,5,
Daniel K Souza,6,3.02%,U.S. House,332,5,
Kurt Schrader,81,40.70%,U.S. House,332,5,
Tootie Smith,107,53.77%,U.S. House,332,5,
Marvin Sannes,0,0.00%,U.S. House,332,5,
Write-in,0,0.00%,U.S. House,332,5,
Cast Votes: ,199,95.67%,U.S. House,332,5,
Over Votes: ,0,0.00%,U.S. House,332,5,
Under Votes: ,9,4.33%,U.S. House,332,5,
Dennis Richardson,128,64.65%,Governor,332,,
Chris Henry,1,0.51%,Governor,332,,
Aaron Auer,0,0.00%,Governor,332,,
John  Kitzhaber,63,31.82%,Governor,332,,
Paul Grad,3,1.52%,Governor,332,,
Jason  Levin,2,1.01%,Governor,332,,
Write-in,1,0.51%,Governor,332,,
Cast Votes: ,198,95.19%,Governor,332,,
Over Votes: ,0,0.00%,Governor,332,,
Under Votes: ,10,4.81%,Governor,332,,
Scott A Mills,64,33.51%,State House,332,18,
Vic Gilliam,127,66.49%,State House,332,18,
Write-in,0,0.00%,State House,332,18,
Cast Votes: ,191,91.83%,State House,332,18,
Over Votes: ,0,0.00%,State House,332,18,
Under Votes: ,17,8.17%,State House,332,18,
Mike Montchalin,36,3.31%,U.S. Senate,333,,
Jeff Merkley,434,39.85%,U.S. Senate,333,,
Christina Jean Lugo,11,1.01%,U.S. Senate,333,,
James E Leuenberger,16,1.47%,U.S. Senate,333,,
Monica Wehby,579,53.17%,U.S. Senate,333,,
Write-in,13,1.19%,U.S. Senate,333,,
Cast Votes: ,1089,95.19%,U.S. Senate,333,,
Over Votes: ,0,0.00%,U.S. Senate,333,,
Under Votes: ,55,4.81%,U.S. Senate,333,,
Raymond Baldwin,18,1.65%,U.S. House,333,5,
Daniel K Souza,17,1.56%,U.S. House,333,5,
Kurt Schrader,500,45.96%,U.S. House,333,5,
Tootie Smith,528,48.53%,U.S. House,333,5,
Marvin Sannes,22,2.02%,U.S. House,333,5,
Write-in,3,0.28%,U.S. House,333,5,
Cast Votes: ,1088,95.10%,U.S. House,333,5,
Over Votes: ,1,0.09%,U.S. House,333,5,
Under Votes: ,55,4.81%,U.S. House,333,5,
Dennis Richardson,688,62.43%,Governor,333,,
Chris Henry,6,0.54%,Governor,333,,
Aaron Auer,6,0.54%,Governor,333,,
John  Kitzhaber,359,32.58%,Governor,333,,
Paul Grad,27,2.45%,Governor,333,,
Jason  Levin,9,0.82%,Governor,333,,
Write-in,7,0.64%,Governor,333,,
Cast Votes: ,1102,96.33%,Governor,333,,
Over Votes: ,0,0.00%,Governor,333,,
Under Votes: ,42,3.67%,Governor,333,,
Alan R Olsen,684,64.29%,State Senate,333,20,
Jamie Damon,376,35.34%,State Senate,333,20,
Write-in,4,0.38%,State Senate,333,20,
Cast Votes: ,1064,93.01%,State Senate,333,20,
Over Votes: ,0,0.00%,State Senate,333,20,
Under Votes: ,80,6.99%,State Senate,333,20,
Bill Kennemer ,811,96.89%,State House,333,39,
Write-in    ,26,3.11%,State House,333,39,
Cast Votes: ,837,73.16%,State House,333,39,
Over Votes:,0,0.00%,State House,333,39,
Under Votes: ,307,26.84%,State House,333,39,
Mike Montchalin,50,4.04%,U.S. Senate,350,,
Jeff Merkley,484,39.13%,U.S. Senate,350,,
Christina Jean Lugo,21,1.70%,U.S. Senate,350,,
James E Leuenberger,32,2.59%,U.S. Senate,350,,
Monica Wehby,642,51.90%,U.S. Senate,350,,
Write-in,8,0.65%,U.S. Senate,350,,
Cast Votes: ,1237,94.50%,U.S. Senate,350,,
Over Votes: ,0,0.00%,U.S. Senate,350,,
Under Votes: ,72,5.50%,U.S. Senate,350,,
Michael Meo,26,2.14%,U.S. House,350,3,
James Buchal,654,53.87%,U.S. House,350,3,
Earl Blumenauer,479,39.46%,U.S. House,350,3,
Jeffrey J Langan,34,2.80%,U.S. House,350,3,
David Walker,20,1.65%,U.S. House,350,3,
Write-in,1,0.08%,U.S. House,350,3,
Cast Votes: ,1214,92.74%,U.S. House,350,3,
Over Votes: ,1,0.08%,U.S. House,350,3,
Under Votes: ,94,7.18%,U.S. House,350,3,
Dennis Richardson,768,61.69%,Governor,350,,
Chris Henry,12,0.96%,Governor,350,,
Aaron Auer,16,1.29%,Governor,350,,
John  Kitzhaber,406,32.61%,Governor,350,,
Paul Grad,22,1.77%,Governor,350,,
Jason  Levin,18,1.45%,Governor,350,,
Write-in,3,0.24%,Governor,350,,
Cast Votes: ,1245,95.11%,Governor,350,,
Over Votes: ,1,0.08%,Governor,350,,
Under Votes: ,63,4.81%,Governor,350,,
Scott A Mills,423,35.28%,State House,350,18,
Vic Gilliam,767,63.97%,State House,350,18,
Write-in,9,0.75%,State House,350,18,
Cast Votes: ,1199,91.60%,State House,350,18,
Over Votes: ,0,0.00%,State House,350,18,
Under Votes: ,110,8.40%,State House,350,18,
Mike Montchalin,76,3.53%,U.S. Senate,351,,
Jeff Merkley,821,38.12%,U.S. Senate,351,,
Christina Jean Lugo,28,1.30%,U.S. Senate,351,,
James E Leuenberger,66,3.06%,U.S. Senate,351,,
Monica Wehby,1153,53.53%,U.S. Senate,351,,
Write-in,10,0.46%,U.S. Senate,351,,
Cast Votes: ,2154,94.56%,U.S. Senate,351,,
Over Votes: ,1,0.04%,U.S. Senate,351,,
Under Votes: ,123,5.40%,U.S. Senate,351,,
Raymond Baldwin,86,3.96%,U.S. House,351,5,
Daniel K Souza,33,1.52%,U.S. House,351,5,
Kurt Schrader,801,36.88%,U.S. House,351,5,
Tootie Smith,1180,54.33%,U.S. House,351,5,
Marvin Sannes,69,3.18%,U.S. House,351,5,
Write-in,3,0.14%,U.S. House,351,5,
Cast Votes: ,2172,95.35%,U.S. House,351,5,
Over Votes: ,0,0.00%,U.S. House,351,5,
Under Votes: ,106,4.65%,U.S. House,351,5,
Dennis Richardson,1426,65.23%,Governor,351,,
Chris Henry,13,0.59%,Governor,351,,
Aaron Auer,33,1.51%,Governor,351,,
John  Kitzhaber,656,30.01%,Governor,351,,
Paul Grad,30,1.37%,Governor,351,,
Jason  Levin,19,0.87%,Governor,351,,
Write-in,9,0.41%,Governor,351,,
Cast Votes: ,2186,95.96%,Governor,351,,
Over Votes: ,0,0.00%,Governor,351,,
Under Votes: ,92,4.04%,Governor,351,,
Scott A Mills,668,31.60%,State House,351,18,
Vic Gilliam,1433,67.79%,State House,351,18,
Write-in,13,0.61%,State House,351,18,
Cast Votes: ,2114,92.80%,State House,351,18,
Over Votes: ,0,0.00%,State House,351,18,
Under Votes: ,164,7.20%,State House,351,18,
Mike Montchalin,42,3.04%,U.S. Senate,352,,
Jeff Merkley,471,34.11%,U.S. Senate,352,,
Christina Jean Lugo,20,1.45%,U.S. Senate,352,,
James E Leuenberger,22,1.59%,U.S. Senate,352,,
Monica Wehby,816,59.09%,U.S. Senate,352,,
Write-in,10,0.72%,U.S. Senate,352,,
Cast Votes: ,1381,96.24%,U.S. Senate,352,,
Over Votes: ,0,0.00%,U.S. Senate,352,,
Under Votes: ,54,3.76%,U.S. Senate,352,,
Raymond Baldwin,39,2.83%,U.S. House,352,5,
Daniel K Souza,25,1.82%,U.S. House,352,5,
Kurt Schrader,481,34.93%,U.S. House,352,5,
Tootie Smith,804,58.39%,U.S. House,352,5,
Marvin Sannes,26,1.89%,U.S. House,352,5,
Write-in,2,0.15%,U.S. House,352,5,
Cast Votes: ,1377,95.96%,U.S. House,352,5,
Over Votes: ,0,0.00%,U.S. House,352,5,
Under Votes: ,58,4.04%,U.S. House,352,5,
Dennis Richardson,956,68.68%,Governor,352,,
Chris Henry,13,0.93%,Governor,352,,
Aaron Auer,14,1.01%,Governor,352,,
John  Kitzhaber,371,26.65%,Governor,352,,
Paul Grad,12,0.86%,Governor,352,,
Jason  Levin,17,1.22%,Governor,352,,
Write-in,9,0.65%,Governor,352,,
Cast Votes: ,1392,97.00%,Governor,352,,
Over Votes: ,0,0.00%,Governor,352,,
Under Votes: ,43,3.00%,Governor,352,,
Scott A Mills,393,29.07%,State House,352,18,
Vic Gilliam,954,70.56%,State House,352,18,
Write-in,5,0.37%,State House,352,18,
Cast Votes: ,1352,94.22%,State House,352,18,
Over Votes: ,0,0.00%,State House,352,18,
Under Votes: ,83,5.78%,State House,352,18,
Mike Montchalin,71,4.30%,U.S. Senate,360,,
Jeff Merkley,731,44.28%,U.S. Senate,360,,
Christina Jean Lugo,31,1.88%,U.S. Senate,360,,
James E Leuenberger,45,2.73%,U.S. Senate,360,,
Monica Wehby,764,46.27%,U.S. Senate,360,,
Write-in,9,0.55%,U.S. Senate,360,,
Cast Votes: ,1651,95.32%,U.S. Senate,360,,
Over Votes: ,0,0.00%,U.S. Senate,360,,
Under Votes: ,81,4.68%,U.S. Senate,360,,
Michael Meo,30,1.88%,U.S. House,360,3,
James Buchal,748,46.90%,U.S. House,360,3,
Earl Blumenauer,732,45.89%,U.S. House,360,3,
Jeffrey J Langan,38,2.38%,U.S. House,360,3,
David Walker,41,2.57%,U.S. House,360,3,
Write-in,6,0.38%,U.S. House,360,3,
Cast Votes: ,1595,92.09%,U.S. House,360,3,
Over Votes: ,0,0.00%,U.S. House,360,3,
Under Votes: ,137,7.91%,U.S. House,360,3,
Dennis Richardson,948,57.01%,Governor,360,,
Chris Henry,11,0.66%,Governor,360,,
Aaron Auer,28,1.68%,Governor,360,,
John  Kitzhaber,617,37.10%,Governor,360,,
Paul Grad,33,1.98%,Governor,360,,
Jason  Levin,21,1.26%,Governor,360,,
Write-in,5,0.30%,Governor,360,,
Cast Votes: ,1663,96.02%,Governor,360,,
Over Votes: ,0,0.00%,Governor,360,,
Under Votes: ,69,3.98%,Governor,360,,
Alan R Olsen,859,54.30%,State Senate,360,20,
Jamie Damon,716,45.26%,State Senate,360,20,
Write-in,7,0.44%,State Senate,360,20,
Cast Votes: ,1582,91.34%,State Senate,360,20,
Over Votes: ,0,0.00%,State Senate,360,20,
Under Votes: ,150,8.66%,State Senate,360,20,
Bill Kennemer ,1135,96.93%,State House,360,39,
Write-in,36,3.07%,State House,360,39,
Cast Votes: ,1171,67.61%,State House,360,39,
Over Votes:,0,0.00%,State House,360,39,
Under Votes: ,561,32.39%,State House,360,39,
Mike Montchalin,0,0.00%,U.S. Senate,361,,
Jeff Merkley,12,44.44%,U.S. Senate,361,,
Christina Jean Lugo,0,0.00%,U.S. Senate,361,,
James E Leuenberger,1,3.70%,U.S. Senate,361,,
Monica Wehby,14,51.85%,U.S. Senate,361,,
Write-in,0,0.00%,U.S. Senate,361,,
Cast Votes: ,27,100.00%,U.S. Senate,361,,
Over Votes: ,0,0.00%,U.S. Senate,361,,
Under Votes: ,0,0.00%,U.S. Senate,361,,
Raymond Baldwin,0,0.00%,U.S. House,361,5,
Daniel K Souza,1,3.85%,U.S. House,361,5,
Kurt Schrader,12,46.15%,U.S. House,361,5,
Tootie Smith,12,46.15%,U.S. House,361,5,
Marvin Sannes,1,3.85%,U.S. House,361,5,
Write-in,0,0.00%,U.S. House,361,5,
Cast Votes: ,26,96.30%,U.S. House,361,5,
Over Votes: ,0,0.00%,U.S. House,361,5,
Under Votes: ,1,3.70%,U.S. House,361,5,
Dennis Richardson,12,46.15%,Governor,361,,
Chris Henry,0,0.00%,Governor,361,,
Aaron Auer,1,3.85%,Governor,361,,
John  Kitzhaber,8,30.77%,Governor,361,,
Paul Grad,1,3.85%,Governor,361,,
Jason  Levin,4,15.38%,Governor,361,,
Write-in,0,0.00%,Governor,361,,
Cast Votes: ,26,96.30%,Governor,361,,
Over Votes: ,0,0.00%,Governor,361,,
Under Votes: ,1,3.70%,Governor,361,,
Scott A Mills,11,44.00%,State House,361,18,
Vic Gilliam,14,56.00%,State House,361,18,
Write-in,0,0.00%,State House,361,18,
Cast Votes: ,25,92.59%,State House,361,18,
Over Votes: ,0,0.00%,State House,361,18,
Under Votes: ,2,7.41%,State House,361,18,
Mike Montchalin,31,3.18%,U.S. Senate,362,,
Jeff Merkley,434,44.56%,U.S. Senate,362,,
Christina Jean Lugo,16,1.64%,U.S. Senate,362,,
James E Leuenberger,21,2.16%,U.S. Senate,362,,
Monica Wehby,467,47.95%,U.S. Senate,362,,
Write-in,5,0.51%,U.S. Senate,362,,
Cast Votes: ,974,94.11%,U.S. Senate,362,,
Over Votes: ,0,0.00%,U.S. Senate,362,,
Under Votes: ,61,5.89%,U.S. Senate,362,,
Michael Meo,16,1.68%,U.S. House,362,3,
James Buchal,441,46.42%,U.S. House,362,3,
Earl Blumenauer,444,46.74%,U.S. House,362,3,
Jeffrey J Langan,24,2.53%,U.S. House,362,3,
David Walker,17,1.79%,U.S. House,362,3,
Write-in,8,0.84%,U.S. House,362,3,
Cast Votes: ,950,91.79%,U.S. House,362,3,
Over Votes: ,0,0.00%,U.S. House,362,3,
Under Votes: ,85,8.21%,U.S. House,362,3,
Dennis Richardson,570,57.63%,Governor,362,,
Chris Henry,9,0.91%,Governor,362,,
Aaron Auer,6,0.61%,Governor,362,,
John  Kitzhaber,370,37.41%,Governor,362,,
Paul Grad,11,1.11%,Governor,362,,
Jason  Levin,16,1.62%,Governor,362,,
Write-in,7,0.71%,Governor,362,,
Cast Votes: ,989,95.56%,Governor,362,,
Over Votes: ,0,0.00%,Governor,362,,
Under Votes: ,46,4.44%,Governor,362,,
Alan R Olsen,510,54.72%,State Senate,362,20,
Jamie Damon,419,44.96%,State Senate,362,20,
Write-in,3,0.32%,State Senate,362,20,
Cast Votes: ,932,90.05%,State Senate,362,20,
Over Votes: ,0,0.00%,State Senate,362,20,
Under Votes: ,103,9.95%,State Senate,362,20,
Bill Kennemer ,673,96.28%,State House,362,39,
Write-in  ,26,3.72%,State House,362,39,
Cast Votes: ,699,67.54%,State House,362,39,
Over Votes:,0,0.00%,State House,362,39,
Under Votes:,336,32.46%,State House,362,39,
Mike Montchalin,14,3.78%,U.S. Senate,363,,
Jeff Merkley,158,42.70%,U.S. Senate,363,,
Christina Jean Lugo,7,1.89%,U.S. Senate,363,,
James E Leuenberger,11,2.97%,U.S. Senate,363,,
Monica Wehby,180,48.65%,U.S. Senate,363,,
Write-in,0,0.00%,U.S. Senate,363,,
Cast Votes: ,370,95.12%,U.S. Senate,363,,
Over Votes: ,0,0.00%,U.S. Senate,363,,
Under Votes: ,19,4.88%,U.S. Senate,363,,
Michael Meo,7,1.96%,U.S. House,363,3,
James Buchal,179,50.14%,U.S. House,363,3,
Earl Blumenauer,156,43.70%,U.S. House,363,3,
Jeffrey J Langan,3,0.84%,U.S. House,363,3,
David Walker,10,2.80%,U.S. House,363,3,
Write-in,2,0.56%,U.S. House,363,3,
Cast Votes: ,357,91.77%,U.S. House,363,3,
Over Votes: ,0,0.00%,U.S. House,363,3,
Under Votes: ,32,8.23%,U.S. House,363,3,
Dennis Richardson,221,59.41%,Governor,363,,
Chris Henry,1,0.27%,Governor,363,,
