county,candidate,votes,office,party,district
Hood River,Joseph R Biden,2780,President,D,
Jackson,Joseph R Biden,20051,President,D,
Jefferson,Joseph R Biden,1374,President,D,
Josephine,Joseph R Biden,6075,President,D,
Klamath,Joseph R Biden,3195,President,D,
Lake,Joseph R Biden,239,President,D,
Lane,Joseph R Biden,41861,President,D,
Lincoln,Joseph R Biden,6625,President,D,
Linn,Joseph R Biden,8231,President,D,
Malheur,Joseph R Biden,768,President,D,
Marion,Joseph R Biden,23574,President,D,
Morrow,Joseph R Biden,381,President,D,
Multnomah,Joseph R Biden,105897,President,D,
Polk,Joseph R Biden,7207,President,D,
Sherman,Joseph R Biden,105,President,D,
Tillamook,Joseph R Biden,3113,President,D,
Umatilla,Joseph R Biden,2819,President,D,
Union,Joseph R Biden,1585,President,D,
Wallowa,Joseph R Biden,609,President,D,
Wasco,Joseph R Biden,2169,President,D,
Washington,Joseph R Biden,58467,President,D,
Wheeler,Joseph R Biden,83,President,D,
Yamhill,Joseph R Biden,8336,President,D,
Total,Joseph R Biden,408315,President,D,
Baker,Bernie Sanders,172,President,D,
Benton,Bernie Sanders,4040,President,D,
Clackamas,Bernie Sanders,10322,President,D,
Clatsop,Bernie Sanders,1178,President,D,
Columbia,Bernie Sanders,1160,President,D,
Coos,Bernie Sanders,1135,President,D,
Crook,Bernie Sanders,188,President,D,
Curry,Bernie Sanders,375,President,D,
Deschutes,Bernie Sanders,4026,President,D,
Douglas,Bernie Sanders,1379,President,D,
Gilliam,Bernie Sanders,19,President,D,
Grant,Bernie Sanders,87,President,D,
Harney,Bernie Sanders,53,President,D,
Hood River,Bernie Sanders,779,President,D,
Jackson,Bernie Sanders,5408,President,D,
Jefferson,Bernie Sanders,186,President,D,
Josephine,Bernie Sanders,1494,President,D,
Klamath,Bernie Sanders,690,President,D,
Lake,Bernie Sanders,45,President,D,
Lane,Bernie Sanders,14822,President,D,
Lincoln,Bernie Sanders,1477,President,D,
Linn,Bernie Sanders,2200,President,D,
Malheur,Bernie Sanders,164,President,D,
Marion,Bernie Sanders,5950,President,D,
Morrow,Bernie Sanders,106,President,D,
Multnomah,Bernie Sanders,47901,President,D,
Polk,Bernie Sanders,1677,President,D,
Sherman,Bernie Sanders,14,President,D,
Tillamook,Bernie Sanders,608,President,D,
Umatilla,Bernie Sanders,619,President,D,
Union,Bernie Sanders,369,President,D,
Wallowa,Bernie Sanders,113,President,D,
Wasco,Bernie Sanders,543,President,D,
Washington,Bernie Sanders,15919,President,D,
Wheeler,Bernie Sanders,25,President,D,
Yamhill,Bernie Sanders,2102,President,D,
Total,Bernie Sanders,127345,President,D,
Baker,Elizabeth Warren,64,President,D,
Benton,Elizabeth Warren,2011,President,D,
Clackamas,Elizabeth Warren,4568,President,D,
Clatsop,Elizabeth Warren,407,President,D,
Columbia,Elizabeth Warren,494,President,D,
Coos,Elizabeth Warren,509,President,D,
Crook,Elizabeth Warren,99,President,D,
Curry,Elizabeth Warren,175,President,D,
Deschutes,Elizabeth Warren,1915,President,D,
Douglas,Elizabeth Warren,579,President,D,
Gilliam,Elizabeth Warren,6,President,D,
Grant,Elizabeth Warren,44,President,D,
Harney,Elizabeth Warren,56,President,D,
Hood River,Elizabeth Warren,360,President,D,
Jackson,Elizabeth Warren,2105,President,D,
Jefferson,Elizabeth Warren,98,President,D,
Josephine,Elizabeth Warren,428,President,D,
Klamath,Elizabeth Warren,329,President,D,
Lake,Elizabeth Warren,29,President,D,
Lane,Elizabeth Warren,5623,President,D,
Lincoln,Elizabeth Warren,602,President,D,
Linn,Elizabeth Warren,805,President,D,
Malheur,Elizabeth Warren,55,President,D,
Marion,Elizabeth Warren,2409,President,D,
Morrow,Elizabeth Warren,33,President,D,
Multnomah,Elizabeth Warren,25647,President,D,
Polk,Elizabeth Warren,695,President,D,
Sherman,Elizabeth Warren,14,President,D,
Tillamook,Elizabeth Warren,282,President,D,
Umatilla,Elizabeth Warren,250,President,D,
Union,Elizabeth Warren,175,President,D,
Wallowa,Elizabeth Warren,68,President,D,
Wasco,Elizabeth Warren,226,President,D,
Washington,Elizabeth Warren,7210,President,D,
Wheeler,Elizabeth Warren,3,President,D,
Yamhill,Elizabeth Warren,982,President,D,
Total,Elizabeth Warren,59355,President,D,
Baker,Tulsi Gabbard,52,President,D,
Benton,Tulsi Gabbard,239,President,D,
Clackamas,Tulsi Gabbard,1261,President,D,
Clatsop,Tulsi Gabbard,133,President,D,
Columbia,Tulsi Gabbard,273,President,D,
Coos,Tulsi Gabbard,271,President,D,
Crook,Tulsi Gabbard,73,President,D,
Curry,Tulsi Gabbard,72,President,D,
Deschutes,Tulsi Gabbard,360,President,D,
Douglas,Tulsi Gabbard,318,President,D,
Gilliam,Tulsi Gabbard,8,President,D,
Grant,Tulsi Gabbard,18,President,D,
Harney,Tulsi Gabbard,22,President,D,
Hood River,Tulsi Gabbard,63,President,D,
Jackson,Tulsi Gabbard,536,President,D,
Jefferson,Tulsi Gabbard,47,President,D,
Josephine,Tulsi Gabbard,172,President,D,
Klamath,Tulsi Gabbard,153,President,D,
Lake,Tulsi Gabbard,19,President,D,
Lane,Tulsi Gabbard,1167,President,D,
Lincoln,Tulsi Gabbard,182,President,D,
Linn,Tulsi Gabbard,344,President,D,
Malheur,Tulsi Gabbard,37,President,D,
Marion,Tulsi Gabbard,694,President,D,
Morrow,Tulsi Gabbard,28,President,D,
Multnomah,Tulsi Gabbard,1972,President,D,
Polk,Tulsi Gabbard,211,President,D,
Sherman,Tulsi Gabbard,10,President,D,
Tillamook,Tulsi Gabbard,91,President,D,
Umatilla,Tulsi Gabbard,113,President,D,
Union,Tulsi Gabbard,86,President,D,
Wallowa,Tulsi Gabbard,16,President,D,
Wasco,Tulsi Gabbard,116,President,D,
Washington,Tulsi Gabbard,1308,President,D,
Wheeler,Tulsi Gabbard,10,President,D,
Yamhill,Tulsi Gabbard,242,President,D,
Total,Tulsi Gabbard,10717,President,D,
Baker,Misc.,54,President,D,
Benton,Misc.,238,President,D,
Clackamas,Misc.,1374,President,D,
Clatsop,Misc.,152,President,D,
Columbia,Misc.,370,President,D,
Coos,Misc.,404,President,D,
Crook,Misc.,128,President,D,
Curry,Misc.,106,President,D,
Deschutes,Misc.,459,President,D,
Douglas,Misc.,506,President,D,
Gilliam,Misc.,14,President,D,
Grant,Misc.,63,President,D,
Harney,Misc.,66,President,D,
Hood River,Misc.,73,President,D,
Jackson,Misc.,599,President,D,
Jefferson,Misc.,73,President,D,
Josephine,Misc.,316,President,D,
Klamath,Misc.,287,President,D,
Lake,Misc.,27,President,D,
Lane,Misc.,1099,President,D,
Lincoln,Misc.,188,President,D,
Linn,Misc.,505,President,D,
Malheur,Misc.,69,President,D,
Marion,Misc.,920,President,D,
Morrow,Misc.,46,President,D,
Multnomah,Misc.,2078,President,D,
Polk,Misc.,232,President,D,
Sherman,Misc.,13,President,D,
Tillamook,Misc.,119,President,D,
Umatilla,Misc.,209,President,D,
Union,Misc.,149,President,D,
Wallowa,Misc.,55,President,D,
Wasco,Misc.,115,President,D,
Washington,Misc.,1408,President,D,
Wheeler,Misc.,29,President,D,
Yamhill,Misc.,436,President,D,
Total,Misc.,12979,President,D,
Baker,Jeff Merkley,1062,US Senate,D,
Benton,Jeff Merkley,16326,US Senate,D,
Clackamas,Jeff Merkley,55949,US Senate,D,
Clatsop,Jeff Merkley,5968,US Senate,D,
Columbia,Jeff Merkley,6605,US Senate,D,
Coos,Jeff Merkley,6707,US Senate,D,
Crook,Jeff Merkley,1729,US Senate,D,
Curry,Jeff Merkley,2738,US Senate,D,
Deschutes,Jeff Merkley,24365,US Senate,D,
Douglas,Jeff Merkley,8447,US Senate,D,
Gilliam,Jeff Merkley,154,US Senate,D,
Grant,Jeff Merkley,451,US Senate,D,
Harney,Jeff Merkley,455,US Senate,D,
Hood River,Jeff Merkley,3644,US Senate,D,
Jackson,Jeff Merkley,26038,US Senate,D,
Jefferson,Jeff Merkley,1614,US Senate,D,
Josephine,Jeff Merkley,7485,US Senate,D,
Klamath,Jeff Merkley,4079,US Senate,D,
Lake,Jeff Merkley,307,US Senate,D,
Lane,Jeff Merkley,58338,US Senate,D,
Lincoln,Jeff Merkley,8358,US Senate,D,
Linn,Jeff Merkley,10528,US Senate,D,
Malheur,Jeff Merkley,959,US Senate,D,
Marion,Jeff Merkley,30474,US Senate,D,
Morrow,Jeff Merkley,520,US Senate,D,
Multnomah,Jeff Merkley,170900,US Senate,D,
Polk,Jeff Merkley,9197,US Senate,D,
Sherman,Jeff Merkley,136,US Senate,D,
Tillamook,Jeff Merkley,3844,US Senate,D,
Umatilla,Jeff Merkley,3511,US Senate,D,
Union,Jeff Merkley,2037,US Senate,D,
Wallowa,Jeff Merkley,769,US Senate,D,
Wasco,Jeff Merkley,2837,US Senate,D,
Washington,Jeff Merkley,77413,US Senate,D,
Wheeler,Jeff Merkley,131,US Senate,D,
Yamhill,Jeff Merkley,10803,US Senate,D,
Total,Jeff Merkley,564878,US Senate,D,
Baker,Misc.,30,US Senate,D,
Benton,Misc.,137,US Senate,D,
Clackamas,Misc.,745,US Senate,D,
Clatsop,Misc.,72,US Senate,D,
Columbia,Misc.,223,US Senate,D,
Coos,Misc.,181,US Senate,D,
Crook,Misc.,64,US Senate,D,
Curry,Misc.,43,US Senate,D,
Deschutes,Misc.,264,US Senate,D,
Douglas,Misc.,261,US Senate,D,
Gilliam,Misc.,2,US Senate,D,
Grant,Misc.,24,US Senate,D,
Harney,Misc.,31,US Senate,D,
Hood River,Misc.,34,US Senate,D,
Jackson,Misc.,346,US Senate,D,
Jefferson,Misc.,33,US Senate,D,
Josephine,Misc.,203,US Senate,D,
Klamath,Misc.,136,US Senate,D,
Lake,Misc.,15,US Senate,D,
Lane,Misc.,587,US Senate,D,
Lincoln,Misc.,111,US Senate,D,
Linn,Misc.,340,US Senate,D,
Malheur,Misc.,30,US Senate,D,
Marion,Misc.,534,US Senate,D,
Morrow,Misc.,25,US Senate,D,
Multnomah,Misc.,1364,US Senate,D,
Polk,Misc.,145,US Senate,D,
Sherman,Misc.,5,US Senate,D,
Tillamook,Misc.,59,US Senate,D,
Umatilla,Misc.,102,US Senate,D,
Union,Misc.,81,US Senate,D,
Wallowa,Misc.,16,US Senate,D,
Wasco,Misc.,58,US Senate,D,
Washington,Misc.,832,US Senate,D,
Wheeler,Misc.,12,US Senate,D,
Yamhill,Misc.,241,US Senate,D,
Total,Misc.,7386,US Senate,D,
Jackson,Lorenzo A Mejia,44532,Circuit Court position 1,,1
Jackson,Misc.,288,Circuit Court position 1,,1
Jackson,Charles G Kochlacs,44253,Circuit Court position 10,,1
Jackson,Misc.,249,Circuit Court position 10,,1
Jackson,David Hoppe,43328,Circuit Court position 2,,1
Jackson,Misc.,305,Circuit Court position 2,,1
Jackson,Kelly W Ravassipour,45822,Circuit Court position 3,,1
Jackson,Misc.,238,Circuit Court position 3,,1
Jackson,Timothy Barnack,43516,Circuit Court position 6,,1
Jackson,Misc.,341,Circuit Court position 6,,1
Jackson,Lisa C Greif,26123,Circuit Court position 8,,1
Jackson,Joe Charter,35226,Circuit Court position 8,,1
Jackson,Misc.,86,Circuit Court position 8,,1
Deschutes,Randy Miller,43379,Circuit Court position 5,,11
Deschutes,Misc.,315,Circuit Court position 5,,11
Deschutes,Alison Emerson,43709,Circuit Court position 7,,11
Deschutes,Misc.,287,Circuit Court position 7,,11
Coos,Cynthia L Beaman,12348,Circuit Court position 6,,15
Curry,Cynthia L Beaman,5790,Circuit Court position 6,,15
Total,Cynthia L Beaman,18138,Circuit Court position 6,,15
Coos,Misc.,146,Circuit Court position 6,,15
Curry,Misc.,94,Circuit Court position 6,,15
Total,Misc.,240,Circuit Court position 6,,15
Douglas,Ann Marie Simmons,21412,Circuit Court position 1,,16
Douglas,Misc.,398,Circuit Court position 1,,16
Lincoln,Russell L Baldwin,4957,Circuit Court position 1,,17
Lincoln,Sheryl M Bachart,12118,Circuit Court position 1,,17
Lincoln,Misc.,28,Circuit Court position 1,,17
Clatsop,Beau V Peterson,9390,Circuit Court position 1,,18
Clatsop,Misc.,115,Circuit Court position 1,,18
Columbia,Ted E Grove,12933,Circuit Court position 1,,19
Columbia,Misc.,329,Circuit Court position 1,,19
Columbia,Ted E Grove,12933,Circuit Court position 2,,19
Columbia,Misc.,329,Circuit Court position 2,,19
Columbia,James D Huffman,2729,Circuit Court position 3,,19
Columbia,Jenefer S Grant,6872,Circuit Court position 3,,19
Columbia,Michael T Clarke,7009,Circuit Court position 3,,19
Columbia,Misc.,62,Circuit Court position 3,,19
Lane,Clara L Rigmaiden,65499,Circuit Court position 15,,2
Lane,Misc.,923,Circuit Court position 15,,2
Lane,Charles D Carlson,65073,Circuit Court position 2,,2
Lane,Misc.,1003,Circuit Court position 2,,2
Lane,Bradley A Cascagnette,65025,Circuit Court position 3,,2
Lane,Misc.,925,Circuit Court position 3,,2
Lane,Charles M Zennache',65830,Circuit Court position 4,,2
Lane,Misc.,927,Circuit Court position 4,,2
Washington,Beth L Roberts,104135,Circuit Court position 12,,20
Washington,Misc.,1340,Circuit Court position 12,,20
Washington,Rebecca D Guptill,108173,Circuit Court position 2,,20
Washington,Misc.,1232,Circuit Court position 2,,20
,Ron Ridehalgh,,Circuit Court position 5,,20
Washington,Ron Ridehalgh,13390,Circuit Court position 5,,20
,Steven Burke,Charles,Circuit Court position 5,,20
Washington,Steven Burke,19750,Circuit Court position 5,,20
,Kelly D Lemarr,,Circuit Court position 5,,20
Washington,Kelly D Lemarr,59236,Circuit Court position 5,,20
,Edward A Kroll,,Circuit Court position 5,,20
Washington,Edward A Kroll,35669,Circuit Court position 5,,20
,Misc.,,Circuit Court position 5,,20
Washington,Misc.,590,Circuit Court position 5,,20
Washington,Andrew R Erwin,103094,Circuit Court position 7,,20
Washington,Misc.,1509,Circuit Court position 7,,20
Washington,Ricardo J Menchaca,106570,Circuit Court position 8,,20
Washington,Misc.,1219,Circuit Court position 8,,20
Benton,Locke A Williams,19520,Circuit Court position 1,,21
Benton,Misc.,221,Circuit Court position 1,,21
Benton,Matthew Donohue,19262,Circuit Court position 2,,21
Benton,Misc.,201,Circuit Court position 2,,21
Crook,Mike McLane,6384,Circuit Court position 2,,22
Jefferson,Mike McLane,4211,Circuit Court position 2,,22
Total,Mike McLane,10595,Circuit Court position 2,,22
Crook,Misc.,43,Circuit Court position 2,,22
Jefferson,Misc.,65,Circuit Court position 2,,22
Total,Misc.,108,Circuit Court position 2,,22
Linn,David Delsman,23796,Circuit Court position 2,,23
Linn,Misc.,394,Circuit Court position 2,,23
Grant,Rob Raschio,1505,Circuit Court position 1,,24
Harney,Rob Raschio,1309,Circuit Court position 1,,24
Total,Rob Raschio,2814,Circuit Court position 1,,24
Grant,John B Lamborn,261,Circuit Court position 1,,24
Harney,John B Lamborn,962,Circuit Court position 1,,24
Total,John B Lamborn,1223,Circuit Court position 1,,24
Grant,Jim Carpenter,1113,Circuit Court position 1,,24
Harney,Jim Carpenter,857,Circuit Court position 1,,24
Total,Jim Carpenter,1970,Circuit Court position 1,,24
Grant,Misc.,7,Circuit Court position 1,,24
Harney,Misc.,9,Circuit Court position 1,,24
Total,Misc.,16,Circuit Court position 1,,24
Yamhill,Ladd J Wiles,19423,Circuit Court position 4,,25
Yamhill,Misc.,268,Circuit Court position 4,,25
Lake,David M Vandenberg,2048,Circuit Court position 1,,26
Lake,Misc.,40,Circuit Court position 1,,26
Tillamook,Mari G Trevino,6914,Circuit Court position 2,,27
Tillamook,Misc.,80,Circuit Court position 2,,27
Marion,Susan M Tripp,51972,Circuit Court position 14,,3
Marion,Misc.,684,Circuit Court position 14,,3
Marion,Manuel Perez,51409,Circuit Court position 15,,3
Marion,Misc.,670,Circuit Court position 15,,3
Marion,Tracy A Prall,52189,Circuit Court position 2,,3
Marion,Misc.,582,Circuit Court position 2,,3
Marion,Cheryl Pellegrini,51878,Circuit Court position 3,,3
Marion,Misc.,593,Circuit Court position 3,,3
Multnomah,Francis Troy,152095,Circuit Court position 1,,4
Multnomah,Misc.,1672,Circuit Court position 1,,4
Multnomah,Angela M Franco Lucero,159338,Circuit Court position 11,,4
Multnomah,Misc.,1566,Circuit Court position 11,,4
Multnomah,Adrian L Brown,67169,Circuit Court position 12,,4
Multnomah,Monica Herranz,12162,Circuit Court position 12,,4
Multnomah,Sonia Montalbano,39565,Circuit Court position 12,,4
Multnomah,John E Schlosser,15572,Circuit Court position 12,,4
Multnomah,Ernest Warren Jr,23623,Circuit Court position 12,,4
Multnomah,Rima Ghandour,47747,Circuit Court position 12,,4
Multnomah,Misc.,673,Circuit Court position 12,,4
Multnomah,Morgan Wren Long,156794,Circuit Court position 13,,4
Multnomah,Misc.,1366,Circuit Court position 13,,4
Multnomah,Amy Holmes Hehn,152037,Circuit Court position 14,,4
Multnomah,Misc.,1552,Circuit Court position 14,,4
Multnomah,Tom Ryan,150837,Circuit Court position 18,,4
Multnomah,Misc.,1568,Circuit Court position 18,,4
Multnomah,Michael A Greenlick,150799,Circuit Court position 19,,4
Multnomah,Misc.,1584,Circuit Court position 19,,4
Multnomah,Nan G Waller,162577,Circuit Court position 2,,4
Multnomah,Misc.,1464,Circuit Court position 2,,4
Multnomah,Stephen K Bushong,153939,Circuit Court position 21,,4
Multnomah,Misc.,1415,Circuit Court position 21,,4
Multnomah,Michael S Loy,149799,Circuit Court position 33,,4
Multnomah,Misc.,1561,Circuit Court position 33,,4
Multnomah,Beth Allen,151552,Circuit Court position 34,,4
Multnomah,Misc.,1461,Circuit Court position 34,,4
Multnomah,Heidi Moawad,155129,Circuit Court position 36,,4
Multnomah,Misc.,1390,Circuit Court position 36,,4
Multnomah,Amy M Baggio,150980,Circuit Court position 38,,4
Multnomah,Misc.,1445,Circuit Court position 38,,4
Multnomah,Christopher J Marshall,153929,Circuit Court position 5,,4
Multnomah,Misc.,1820,Circuit Court position 5,,4
Clackamas,Kathie F Steele,77361,Circuit Court position 6,,5
Clackamas,Misc.,869,Circuit Court position 6,,5
Clackamas,Heather L Karabeika,76882,Circuit Court position 8,,5
Clackamas,Misc.,838,Circuit Court position 8,,5
Gilliam,Karen Ostrye,481,Circuit Court position 3,,7
Hood River,Karen Ostrye,5388,Circuit Court position 3,,7
Sherman,Karen Ostrye,478,Circuit Court position 3,,7
Wasco,Karen Ostrye,5252,Circuit Court position 3,,7
Wheeler,Karen Ostrye,425,Circuit Court position 3,,7
Total,Karen Ostrye,12024,Circuit Court position 3,,7
Gilliam,Misc.,2,Circuit Court position 3,,7
Hood River,Misc.,49,Circuit Court position 3,,7
Sherman,Misc.,6,Circuit Court position 3,,7
Wasco,Misc.,81,Circuit Court position 3,,7
Wheeler,Misc.,5,Circuit Court position 3,,7
Total,Misc.,143,Circuit Court position 3,,7
Baker,Josephine H Mooney,3789,Court of Appeals position 1,,
Benton,Josephine H Mooney,19845,Court of Appeals position 1,,
Clackamas,Josephine H Mooney,79242,Court of Appeals position 1,,
Clatsop,Josephine H Mooney,9333,Court of Appeals position 1,,
Columbia,Josephine H Mooney,12148,Court of Appeals position 1,,
Coos,Josephine H Mooney,12651,Court of Appeals position 1,,
Crook,Josephine H Mooney,5393,Court of Appeals position 1,,
Curry,Josephine H Mooney,5462,Court of Appeals position 1,,
Deschutes,Josephine H Mooney,42689,Court of Appeals position 1,,
Douglas,Josephine H Mooney,21304,Court of Appeals position 1,,
Gilliam,Josephine H Mooney,474,Court of Appeals position 1,,
Grant,Josephine H Mooney,1731,Court of Appeals position 1,,
Harney,Josephine H Mooney,1880,Court of Appeals position 1,,
Hood River,Josephine H Mooney,5144,Court of Appeals position 1,,
Jackson,Josephine H Mooney,43793,Court of Appeals position 1,,
Jefferson,Josephine H Mooney,4071,Court of Appeals position 1,,
Josephine,Josephine H Mooney,17475,Court of Appeals position 1,,
Klamath,Josephine H Mooney,13401,Court of Appeals position 1,,
Lake,Josephine H Mooney,1531,Court of Appeals position 1,,
Lane,Josephine H Mooney,69348,Court of Appeals position 1,,
Lincoln,Josephine H Mooney,13181,Court of Appeals position 1,,
Linn,Josephine H Mooney,23097,Court of Appeals position 1,,
Malheur,Josephine H Mooney,4194,Court of Appeals position 1,,
Marion,Josephine H Mooney,53017,Court of Appeals position 1,,
Morrow,Josephine H Mooney,2000,Court of Appeals position 1,,
Multnomah,Josephine H Mooney,162998,Court of Appeals position 1,,
Polk,Josephine H Mooney,16791,Court of Appeals position 1,,
Sherman,Josephine H Mooney,478,Court of Appeals position 1,,
Tillamook,Josephine H Mooney,6376,Court of Appeals position 1,,
Umatilla,Josephine H Mooney,10481,Court of Appeals position 1,,
Union,Josephine H Mooney,6360,Court of Appeals position 1,,
Wallowa,Josephine H Mooney,2279,Court of Appeals position 1,,
Wasco,Josephine H Mooney,5251,Court of Appeals position 1,,
Washington,Josephine H Mooney,109610,Court of Appeals position 1,,
Wheeler,Josephine H Mooney,417,Court of Appeals position 1,,
Yamhill,Josephine H Mooney,19562,Court of Appeals position 1,,
Total,Josephine H Mooney,806796,Court of Appeals position 1,,
Baker,Misc.,34,Court of Appeals position 1,,
Benton,Misc.,227,Court of Appeals position 1,,
Clackamas,Misc.,1031,Court of Appeals position 1,,
Clatsop,Misc.,95,Court of Appeals position 1,,
Columbia,Misc.,233,Court of Appeals position 1,,
Coos,Misc.,168,Court of Appeals position 1,,
Crook,Misc.,56,Court of Appeals position 1,,
Curry,Misc.,50,Court of Appeals position 1,,
Deschutes,Misc.,390,Court of Appeals position 1,,
Douglas,Misc.,496,Court of Appeals position 1,,
Gilliam,Misc.,3,Court of Appeals position 1,,
Grant,Misc.,26,Court of Appeals position 1,,
Harney,Misc.,51,Court of Appeals position 1,,
Hood River,Misc.,47,Court of Appeals position 1,,
Jackson,Misc.,342,Court of Appeals position 1,,
Jefferson,Misc.,61,Court of Appeals position 1,,
Josephine,Misc.,290,Court of Appeals position 1,,
Klamath,Misc.,209,Court of Appeals position 1,,
Lake,Misc.,35,Court of Appeals position 1,,
Lane,Misc.,1125,Court of Appeals position 1,,
Lincoln,Misc.,131,Court of Appeals position 1,,
Linn,Misc.,500,Court of Appeals position 1,,
Malheur,Misc.,42,Court of Appeals position 1,,
Marion,Misc.,933,Court of Appeals position 1,,
Morrow,Misc.,33,Court of Appeals position 1,,
Multnomah,Misc.,1633,Court of Appeals position 1,,
Polk,Misc.,277,Court of Appeals position 1,,
Sherman,Misc.,8,Court of Appeals position 1,,
Tillamook,Misc.,77,Court of Appeals position 1,,
Umatilla,Misc.,137,Court of Appeals position 1,,
Union,Misc.,106,Court of Appeals position 1,,
Wallowa,Misc.,16,Court of Appeals position 1,,
Wasco,Misc.,67,Court of Appeals position 1,,
Washington,Misc.,1437,Court of Appeals position 1,,
Wheeler,Misc.,6,Court of Appeals position 1,,
Yamhill,Misc.,308,Court of Appeals position 1,,
Total,Misc.,10680,Court of Appeals position 1,,
Baker,Joel DeVore,2417,Court of Appeals position 11,,
Benton,Joel DeVore,13689,Court of Appeals position 11,,
Clackamas,Joel DeVore,58817,Court of Appeals position 11,,
Clatsop,Joel DeVore,6236,Court of Appeals position 11,,
Columbia,Joel DeVore,7954,Court of Appeals position 11,,
Coos,Joel DeVore,8705,Court of Appeals position 11,,
Crook,Joel DeVore,3581,Court of Appeals position 11,,
Curry,Joel DeVore,3646,Court of Appeals position 11,,
Deschutes,Joel DeVore,30097,Court of Appeals position 11,,
Douglas,Joel DeVore,14223,Court of Appeals position 11,,
Gilliam,Joel DeVore,327,Court of Appeals position 11,,
Grant,Joel DeVore,1106,Court of Appeals position 11,,
Harney,Joel DeVore,1243,Court of Appeals position 11,,
Hood River,Joel DeVore,3622,Court of Appeals position 11,,
Jackson,Joel DeVore,30895,Court of Appeals position 11,,
Jefferson,Joel DeVore,2766,Court of Appeals position 11,,
Josephine,Joel DeVore,11804,Court of Appeals position 11,,
Klamath,Joel DeVore,9429,Court of Appeals position 11,,
Lake,Joel DeVore,1088,Court of Appeals position 11,,
Lane,Joel DeVore,52311,Court of Appeals position 11,,
Lincoln,Joel DeVore,8644,Court of Appeals position 11,,
Linn,Joel DeVore,15264,Court of Appeals position 11,,
Malheur,Joel DeVore,2609,Court of Appeals position 11,,
Marion,Joel DeVore,36248,Court of Appeals position 11,,
Morrow,Joel DeVore,1346,Court of Appeals position 11,,
Multnomah,Joel DeVore,121459,Court of Appeals position 11,,
Polk,Joel DeVore,11290,Court of Appeals position 11,,
Sherman,Joel DeVore,337,Court of Appeals position 11,,
Tillamook,Joel DeVore,4418,Court of Appeals position 11,,
Umatilla,Joel DeVore,7218,Court of Appeals position 11,,
Union,Joel DeVore,4414,Court of Appeals position 11,,
Wallowa,Joel DeVore,1627,Court of Appeals position 11,,
Wasco,Joel DeVore,3457,Court of Appeals position 11,,
Washington,Joel DeVore,76254,Court of Appeals position 11,,
Wheeler,Joel DeVore,275,Court of Appeals position 11,,
Yamhill,Joel DeVore,13611,Court of Appeals position 11,,
Total,Joel DeVore,572427,Court of Appeals position 11,,
Baker,Kyle L Krohn,2124,Court of Appeals position 11,,
Benton,Kyle L Krohn,9298,Court of Appeals position 11,,
Clackamas,Kyle L Krohn,43837,Court of Appeals position 11,,
Clatsop,Kyle L Krohn,4786,Court of Appeals position 11,,
Columbia,Kyle L Krohn,6928,Court of Appeals position 11,,
Coos,Kyle L Krohn,7348,Court of Appeals position 11,,
Crook,Kyle L Krohn,2836,Court of Appeals position 11,,
Curry,Kyle L Krohn,3136,Court of Appeals position 11,,
Deschutes,Kyle L Krohn,19882,Court of Appeals position 11,,
Douglas,Kyle L Krohn,11612,Court of Appeals position 11,,
Gilliam,Kyle L Krohn,221,Court of Appeals position 11,,
Grant,Kyle L Krohn,1011,Court of Appeals position 11,,
Harney,Kyle L Krohn,1057,Court of Appeals position 11,,
Hood River,Kyle L Krohn,2373,Court of Appeals position 11,,
Jackson,Kyle L Krohn,22873,Court of Appeals position 11,,
Jefferson,Kyle L Krohn,1982,Court of Appeals position 11,,
Josephine,Kyle L Krohn,9959,Court of Appeals position 11,,
Klamath,Kyle L Krohn,6853,Court of Appeals position 11,,
Lake,Kyle L Krohn,843,Court of Appeals position 11,,
Lane,Kyle L Krohn,35900,Court of Appeals position 11,,
Lincoln,Kyle L Krohn,6805,Court of Appeals position 11,,
Linn,Kyle L Krohn,13430,Court of Appeals position 11,,
Malheur,Kyle L Krohn,2246,Court of Appeals position 11,,
Marion,Kyle L Krohn,28593,Court of Appeals position 11,,
Morrow,Kyle L Krohn,1033,Court of Appeals position 11,,
Multnomah,Kyle L Krohn,77810,Court of Appeals position 11,,
Polk,Kyle L Krohn,9023,Court of Appeals position 11,,
Sherman,Kyle L Krohn,234,Court of Appeals position 11,,
Tillamook,Kyle L Krohn,3350,Court of Appeals position 11,,
Umatilla,Kyle L Krohn,5338,Court of Appeals position 11,,
Union,Kyle L Krohn,3181,Court of Appeals position 11,,
Wallowa,Kyle L Krohn,1098,Court of Appeals position 11,,
Wasco,Kyle L Krohn,2931,Court of Appeals position 11,,
Washington,Kyle L Krohn,54149,Court of Appeals position 11,,
Wheeler,Kyle L Krohn,225,Court of Appeals position 11,,
Yamhill,Kyle L Krohn,11617,Court of Appeals position 11,,
Total,Kyle L Krohn,415922,Court of Appeals position 11,,
Baker,Misc.,10,Court of Appeals position 11,,
Benton,Misc.,79,Court of Appeals position 11,,
Clackamas,Misc.,360,Court of Appeals position 11,,
Clatsop,Misc.,35,Court of Appeals position 11,,
Columbia,Misc.,75,Court of Appeals position 11,,
Coos,Misc.,51,Court of Appeals position 11,,
Crook,Misc.,13,Court of Appeals position 11,,
Curry,Misc.,12,Court of Appeals position 11,,
Deschutes,Misc.,108,Court of Appeals position 11,,
Douglas,Misc.,150,Court of Appeals position 11,,
