county,office,district,party,candidate,precinct,votes
Sherman,State Treasurer,,R,David Wagonblast,Rufus #1,0
Sherman,State Treasurer,,R,David Wagonblast,Wasco #2,0
Sherman,State Treasurer,,R,David Wagonblast,Moro #3,0
Sherman,State Treasurer,,R,David Wagonblast,Grass Valley #4,0
Sherman,State Treasurer,,R,David Wagonblast,Kent #5,1
Sherman,State Treasurer,,R,Write-ins,Rufus #1,0
Sherman,State Treasurer,,R,Write-ins,Wasco #2,4
Sherman,State Treasurer,,R,Write-ins,Moro #3,0
Sherman,State Treasurer,,R,Write-ins,Grass Valley #4,0
Sherman,State Treasurer,,R,Write-ins,Kent #5,0
Sherman,State Treasurer,,R,Over Votes,Rufus #1,0
Sherman,State Treasurer,,R,Over Votes,Wasco #2,0
Sherman,State Treasurer,,R,Over Votes,Moro #3,0
Sherman,State Treasurer,,R,Over Votes,Grass Valley #4,0
Sherman,State Treasurer,,R,Over Votes,Kent #5,0
Sherman,State Treasurer,,R,Under Votes,Rufus #1,37
Sherman,State Treasurer,,R,Under Votes,Wasco #2,111
Sherman,State Treasurer,,R,Under Votes,Moro #3,119
Sherman,State Treasurer,,R,Under Votes,Grass Valley #4,67
Sherman,State Treasurer,,R,Under Votes,Kent #5,34
Sherman,Attorney General,,R,James Buchal,Rufus #1,0
Sherman,Attorney General,,R,James Buchal,Wasco #2,4
Sherman,Attorney General,,R,James Buchal,Moro #3,3
Sherman,Attorney General,,R,James Buchal,Grass Valley #4,7
Sherman,Attorney General,,R,James Buchal,Kent #5,3
Sherman,Attorney General,,R,Dwight Holton,Rufus #1,0
Sherman,Attorney General,,R,Dwight Holton,Wasco #2,1
Sherman,Attorney General,,R,Dwight Holton,Moro #3,0
Sherman,Attorney General,,R,Dwight Holton,Grass Valley #4,0
Sherman,Attorney General,,R,Dwight Holton,Kent #5,1
Sherman,Attorney General,,R,Ellen Rosenbaum,Rufus #1,0
Sherman,Attorney General,,R,Ellen Rosenbaum,Wasco #2,1
Sherman,Attorney General,,R,Ellen Rosenbaum,Moro #3,0
Sherman,Attorney General,,R,Ellen Rosenbaum,Grass Valley #4,1
Sherman,Attorney General,,R,Ellen Rosenbaum,Kent #5,1
Sherman,Attorney General,,R,Paul F. Sherman,Rufus #1,0
Sherman,Attorney General,,R,Paul F. Sherman,Wasco #2,0
Sherman,Attorney General,,R,Paul F. Sherman,Moro #3,0
Sherman,Attorney General,,R,Paul F. Sherman,Grass Valley #4,0
Sherman,Attorney General,,R,Paul F. Sherman,Kent #5,1
Sherman,Attorney General,,R,Write-ins,Rufus #1,0
Sherman,Attorney General,,R,Write-ins,Wasco #2,2
Sherman,Attorney General,,R,Write-ins,Moro #3,0
Sherman,Attorney General,,R,Write-ins,Grass Valley #4,0
Sherman,Attorney General,,R,Write-ins,Kent #5,0
Sherman,Attorney General,,R,Over Votes,Rufus #1,0
Sherman,Attorney General,,R,Over Votes,Wasco #2,0
Sherman,Attorney General,,R,Over Votes,Moro #3,0
Sherman,Attorney General,,R,Over Votes,Grass Valley #4,0
Sherman,Attorney General,,R,Over Votes,Kent #5,0
Sherman,Attorney General,,R,Under Votes,Rufus #1,38
Sherman,Attorney General,,R,Under Votes,Wasco #2,113
Sherman,Attorney General,,R,Under Votes,Moro #3,119
Sherman,Attorney General,,R,Under Votes,Grass Valley #4,67
Sherman,Attorney General,,R,Under Votes,Kent #5,34
Sherman,State Senate,29,R,Maryl G. Featherstone,Rufus #1,3
Sherman,State Senate,29,R,Maryl G. Featherstone,Wasco #2,23
Sherman,State Senate,29,R,Maryl G. Featherstone,Moro #3,26
Sherman,State Senate,29,R,Maryl G. Featherstone,Grass Valley #4,10
Sherman,State Senate,29,R,Maryl G. Featherstone,Kent #5,6
Sherman,State Senate,29,R,Bill Hansell,Rufus #1,25
Sherman,State Senate,29,R,Bill Hansell,Wasco #2,85
Sherman,State Senate,29,R,Bill Hansell,Moro #3,83
Sherman,State Senate,29,R,Bill Hansell,Grass Valley #4,58
Sherman,State Senate,29,R,Bill Hansell,Kent #5,26
Sherman,State Senate,29,R,Write-ins,Rufus #1,0
Sherman,State Senate,29,R,Write-ins,Wasco #2,0
Sherman,State Senate,29,R,Write-ins,Moro #3,0
Sherman,State Senate,29,R,Write-ins,Grass Valley #4,0
Sherman,State Senate,29,R,Write-ins,Kent #5,0
Sherman,State Senate,29,R,Over Votes,Rufus #1,0
Sherman,State Senate,29,R,Over Votes,Wasco #2,0
Sherman,State Senate,29,R,Over Votes,Moro #3,1
Sherman,State Senate,29,R,Over Votes,Grass Valley #4,0
Sherman,State Senate,29,R,Over Votes,Kent #5,0
Sherman,State Senate,29,R,Under Votes,Rufus #1,10
Sherman,State Senate,29,R,Under Votes,Wasco #2,13
Sherman,State Senate,29,R,Under Votes,Moro #3,12
Sherman,State Senate,29,R,Under Votes,Grass Valley #4,7
Sherman,State Senate,29,R,Under Votes,Kent #5,8
Sherman,State House,57,R,Greg Smith,Rufus #1,24
Sherman,State House,57,R,Greg Smith,Wasco #2,94
Sherman,State House,57,R,Greg Smith,Moro #3,97
Sherman,State House,57,R,Greg Smith,Grass Valley #4,57
Sherman,State House,57,R,Greg Smith,Kent #5,30
Sherman,State House,57,R,Write-ins,Rufus #1,1
Sherman,State House,57,R,Write-ins,Wasco #2,1
Sherman,State House,57,R,Write-ins,Moro #3,0
Sherman,State House,57,R,Write-ins,Grass Valley #4,0
Sherman,State House,57,R,Write-ins,Kent #5,1
Sherman,State House,57,R,Over Votes,Rufus #1,0
Sherman,State House,57,R,Over Votes,Wasco #2,0
Sherman,State House,57,R,Over Votes,Moro #3,0
Sherman,State House,57,R,Over Votes,Grass Valley #4,0
Sherman,State House,57,R,Over Votes,Kent #5,0
Sherman,State House,57,R,Under Votes,Rufus #1,4
Sherman,State House,57,R,Under Votes,Wasco #2,4
Sherman,State House,57,R,Under Votes,Moro #3,2
Sherman,State House,57,R,Under Votes,Grass Valley #4,3
Sherman,State House,57,R,Under Votes,Kent #5,1
